"time_ms , temp_0 , temp_1 , temp_0-1 , diff_p , abs_p , sfm3300"
0.88,827,782,45,41,253,0.0
12.98,828,781,47,41,253,0.0
24.99,827,782,45,41,253,0.0
39.5,825,781,44,42,253,0.0
51.54,828,782,46,42,253,0.0
63.51,823,777,46,41,251,0.0
76.42,827,782,45,41,254,0.0
88.53,822,779,43,42,252,0.0
103.66,826,783,43,42,253,0.0
115.67,825,781,44,41,253,0.0
127.51,826,781,45,43,253,0.0
139.87,827,781,46,42,254,0.0
153.73,820,774,46,42,250,-0.0333
167.21,825,782,43,42,253,0.0
179.29,826,781,45,42,253,0.0
191.46,826,781,45,42,253,0.0
203.54,827,782,45,41,253,0.0
215.74,822,778,44,42,252,0.0
228.61,826,782,44,42,252,0.0
240.69,827,782,45,42,254,0.0
253.36,821,778,43,42,252,0.0
265.93,823,777,46,41,252,0.0
278.49,824,777,47,42,252,0.0
291.08,823,776,47,42,252,0.0
303.47,821,776,45,41,250,0.0
317.21,826,781,45,41,253,0.0
329.26,826,783,43,42,253,0.0
341.15,817,773,44,42,250,0.0
353.35,825,782,43,42,253,0.0
365.46,826,780,46,43,253,0.0333
377.38,824,781,43,43,253,0.0
389.53,822,778,44,42,253,0.0
401.7,821,776,45,42,252,0.0
415.13,826,783,43,40,253,-0.0333
427.09,826,782,44,42,254,0.0
439.3,823,778,45,41,252,0.0
451.79,825,783,42,41,253,0.0
463.76,819,777,42,42,251,0.0
475.74,823,776,47,42,253,-0.0333
488.28,826,781,45,42,253,0.0
500.43,822,778,44,41,252,0.0
513.77,826,782,44,42,253,0.0
525.74,823,778,45,41,252,0.0333
537.77,827,781,46,42,253,0.0
549.77,826,782,44,42,254,0.0
561.79,821,777,44,42,252,0.0
574.64,821,776,45,41,252,0.0
586.91,816,776,40,41,250,0.0
599.6,824,781,43,41,253,0.0
611.94,826,783,43,42,253,0.0
623.97,821,776,45,42,251,0.0
637.19,821,778,43,41,252,0.0
649.83,822,777,45,42,252,0.0
661.75,822,777,45,42,252,0.0
673.85,827,782,45,41,253,0.0
685.88,821,776,45,41,252,0.0
698.51,826,782,44,41,253,0.0
710.74,823,777,46,41,251,0.0
722.77,822,777,45,43,252,0.0
734.98,828,778,50,42,252,0.0
747.07,823,780,43,42,254,0.0
759.24,823,782,41,41,253,0.0
771.22,819,770,49,42,252,0.0
783.32,825,780,45,42,253,0.0
