time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
0.72,819,777,42,41,252,-0.0333
23.06,816,772,44,42,249,0.0
35.66,819,776,43,41,251,0.0
47.98,819,774,45,42,251,0.0
61.25,818,774,44,42,251,0.0
74.56,822,778,44,41,253,0.0
86.42,822,779,43,41,253,0.0
98.09,822,780,42,41,253,0.0
109.94,821,778,43,42,253,0.0
121.93,818,776,42,42,251,0.0
134.59,823,780,43,42,252,0.0
146.48,830,782,48,42,253,-0.0333
159.42,824,776,48,42,252,0.0
172.84,827,781,46,41,253,0.0
185.19,824,778,46,43,252,0.0
198.14,828,780,48,42,253,0.0
210.4,823,776,47,41,252,0.0
222.93,826,781,45,42,253,0.0
235.47,829,782,47,41,253,0.0
247.68,826,778,48,42,253,0.0
264.32,827,782,45,41,253,0.0
276.8,825,777,48,42,252,0.0
289.35,829,779,50,42,253,0.0
301.85,830,782,48,42,253,0.0
314.2,827,778,49,43,252,0.0
327.72,823,783,40,41,253,0.0
340.2,826,777,49,41,252,0.0
352.86,829,782,47,42,253,0.0
365.54,827,782,45,42,253,0.0
377.9,826,777,49,42,252,0.0
391.64,829,781,48,41,253,0.0
404.13,826,780,46,42,252,0.0
416.77,829,780,49,42,254,0.0
429.28,828,781,47,41,253,0.0
441.7,826,779,47,42,252,0.0
454.5,822,781,41,42,253,0.0
466.98,825,779,46,42,252,0.0
479.6,826,780,46,43,253,0.0
493.26,824,780,44,42,252,0.0
506.02,827,782,45,42,253,0.0
518.67,828,781,47,41,253,0.0
531.16,825,773,52,42,250,0.0
544.38,829,780,49,41,254,0.0
561.18,826,776,50,42,251,0.0
574.78,829,781,48,42,253,0.0
587.33,826,778,48,42,253,0.0
600.22,826,777,49,42,252,0.0
614.7,827,782,45,43,252,0.0333
627.31,825,776,49,41,252,0.0
641.24,828,780,48,42,254,0.0
653.78,827,778,49,41,252,0.0
666.48,825,779,46,42,252,0.0
679.72,821,776,45,41,251,0.0
692.7,825,777,48,42,252,0.0
706.46,830,781,49,42,254,0.0
719.37,824,775,49,41,252,0.0
733.48,825,777,48,42,253,0.0
746.29,826,777,49,41,252,0.0
759.67,824,777,47,43,252,0.0
773.16,826,782,44,42,253,0.0
785.6,823,776,47,43,251,0.0
799.27,826,781,45,41,252,0.0
811.67,827,780,47,42,253,0.0
824.24,826,780,46,42,253,0.0
836.57,827,780,47,41,252,0.0
849.29,825,783,42,42,250,0.0
862.07,827,780,47,41,252,0.0
874.45,827,781,46,42,251,0.0
887.09,826,781,45,42,252,0.0
899.41,827,780,47,41,253,0.0
911.69,823,778,45,42,252,0.0
924.7,826,781,45,42,253,0.0
937.05,828,780,48,42,252,0.0
949.5,829,780,49,41,253,0.0
962.02,826,780,46,42,253,0.0
974.76,820,774,46,42,254,0.0
988.13,829,780,49,42,253,0.0
1000.66,829,782,47,41,253,0.0
1013.37,825,778,47,41,252,0.0
1027.03,828,781,47,41,253,0.0
1039.65,827,777,50,43,251,0.0
1053.23,828,780,48,43,253,0.0
1065.91,820,782,38,42,254,0.0
1078.43,822,775,47,42,251,0.0
1091.81,828,780,48,42,253,0.0
1104.03,823,779,44,42,252,0.0
1117.48,827,781,46,41,253,0.0
1129.81,825,781,44,42,253,0.0
1142.2,824,778,46,41,251,0.0
1155.34,827,786,41,42,254,0.0
1167.89,829,780,49,42,253,0.0
1180.63,825,776,49,42,253,0.0
1193.75,827,781,46,42,253,0.0
1206.17,825,779,46,42,252,0.0
1219.85,828,782,46,42,253,0.0
1232.35,827,780,47,42,253,0.0
1244.99,824,776,48,41,251,0.0
1258.77,829,782,47,42,253,0.0
1271.44,824,778,46,42,252,0.0
1284.66,829,782,47,42,254,0.0
1297.14,827,782,45,43,253,0.0
1309.61,826,779,47,42,251,0.0
1323.15,830,782,48,42,253,0.0
1335.66,822,783,39,41,252,0.0
1348.92,827,779,48,42,252,0.0
1362.32,824,776,48,42,252,0.0
1375.06,823,776,47,41,251,0.0
1388.08,827,779,48,41,253,0.0
1401.13,827,779,48,42,253,-0.0333
1413.99,830,783,47,42,253,0.0
1426.91,828,782,46,43,253,0.0
1439.56,825,777,48,42,251,0.0
1453.38,818,773,45,41,249,0.0
1466.0,820,779,41,42,253,0.0
1478.04,817,774,43,42,251,0.0
1491.04,818,776,42,42,251,0.0
1503.42,812,770,42,41,249,0.0
1516.66,822,775,47,41,252,0.0
1528.58,822,779,43,42,253,0.0
1540.56,818,773,45,42,252,0.0
1553.65,817,777,40,41,251,0.0
1565.69,822,779,43,42,252,0.0
1577.77,817,774,43,42,251,-0.0333
1589.99,820,780,40,41,253,0.0
1602.0,820,778,42,42,253,0.0
1613.96,817,776,41,41,251,0.0
1627.0,818,776,42,42,251,0.0
1639.13,818,776,42,42,250,-0.0333
1652.3,823,780,43,42,253,0.0
1664.17,822,780,42,41,252,0.0
1676.12,818,776,42,42,251,0.0
1692.01,820,779,41,42,252,0.0
1703.94,821,777,44,43,252,0.0
1715.93,817,775,42,42,251,0.0
1728.23,824,779,45,42,252,0.0
1740.1,817,776,41,41,251,0.0
1752.08,818,776,42,42,251,0.0
1764.95,822,778,44,42,252,0.0
1776.89,822,778,44,42,253,0.0
1789.01,823,779,44,41,252,0.0
1801.22,823,780,43,42,252,0.0
1813.25,816,775,41,42,252,0.0
1826.81,822,780,42,42,252,0.0
1838.71,820,779,41,42,252,0.0
1850.66,818,775,43,42,250,0.0
1863.52,823,779,44,40,252,0.0
1875.45,822,783,39,41,252,0.0
1887.48,820,775,45,41,251,0.0
1899.8,821,779,42,41,253,0.0
1912.03,815,774,41,42,250,0.0
1925.12,823,780,43,42,252,0.0
1937.02,820,779,41,42,252,0.0
1948.99,819,776,43,42,251,0.0
1962.1,823,779,44,41,252,0.0
1974.04,821,780,41,42,251,0.0
1986.11,823,779,44,41,253,0.0
1998.09,821,781,40,42,252,0.0
2010.08,818,773,45,42,251,0.0
2022.88,823,779,44,41,253,0.0
2034.77,822,779,43,42,252,0.0
2046.79,819,774,45,41,251,0.0
2059.72,821,780,41,42,252,0.0
2071.65,819,778,41,42,252,0.0
2083.62,822,779,43,41,252,0.0
2095.84,817,774,43,42,250,0.0
2107.72,820,775,45,42,251,0.0
2120.68,821,779,42,42,253,0.0
2132.55,822,779,43,42,252,-0.0333
2144.52,817,770,47,43,253,-0.0333
2157.53,828,780,48,42,253,0.0
2169.78,828,781,47,42,252,0.0
2182.56,825,771,54,43,251,0.0
2196.01,827,780,47,42,253,0.0
2208.66,826,778,48,42,251,0.0
2222.3,824,782,42,41,253,0.0
2234.8,827,779,48,42,253,0.0
2247.39,824,777,47,43,251,0.0
2260.88,827,780,47,43,253,0.0
2273.5,825,777,48,42,252,0.0
2286.76,827,782,45,43,252,0.0
2299.07,827,781,46,42,252,-0.0333
2311.6,825,778,47,42,251,0.0
2324.51,828,780,48,42,253,0.0
2336.82,827,780,47,42,253,0.0
2349.36,825,779,46,43,252,0.0
2361.92,832,780,52,41,251,0.0
2374.66,825,778,47,42,252,0.0
2388.19,828,781,47,43,253,0.0
2400.71,830,781,49,41,254,0.0
2413.29,824,777,47,42,251,-0.0333
2426.94,828,781,47,41,253,0.0
2439.55,827,778,49,42,252,0.0
2452.99,823,779,44,41,252,0.0
2466.33,824,776,48,41,252,0.0
2478.93,824,775,49,41,251,0.0
2492.44,827,782,45,41,253,0.0
2504.89,823,778,45,42,252,0.0
2518.69,827,781,46,42,253,-0.0333
2531.06,827,780,47,42,253,0.0
2543.56,824,777,47,42,251,0.0
2556.9,828,781,47,42,253,0.0
2569.43,826,777,49,43,252,0.0
2582.68,828,782,46,42,253,0.0
2594.99,827,782,45,42,251,0.0
2607.38,824,778,46,41,251,0.0
2620.67,828,780,48,42,253,0.0
2632.98,823,777,46,41,251,0.0
2645.66,824,776,48,43,252,0.0
2658.01,826,780,46,41,253,0.0
2670.37,824,778,46,42,251,0.0
2684.37,828,781,47,41,253,0.0
2696.87,828,780,48,42,253,0.0
2709.48,823,777,46,41,252,0.0
2722.94,825,778,47,42,251,0.0
2735.84,826,777,49,42,251,0.0
2749.27,826,779,47,42,252,0.0
2762.0,828,781,47,41,253,0.0
2775.44,823,777,46,43,250,0.0
2788.72,828,780,48,41,253,0.0
2801.2,824,778,46,42,252,0.0
2814.82,828,780,48,41,253,0.0
2827.26,823,778,45,42,252,0.0
2839.74,823,778,45,42,252,0.0
2853.27,827,782,45,42,253,0.0
2865.64,824,777,47,42,251,0.0
2879.0,827,780,47,42,253,0.0
2891.43,824,776,48,41,251,-0.0333
2904.24,823,777,46,41,251,0.0
2917.56,826,781,45,42,253,0.0
2929.92,824,776,48,42,251,0.0
2943.02,828,780,48,42,253,0.0
2955.37,824,778,46,42,252,0.0
2967.96,824,778,46,41,251,0.0
2981.25,823,779,44,41,252,0.0
2993.8,823,776,47,41,252,0.0
3006.49,824,778,46,42,251,0.0
3018.99,824,779,45,42,251,0.0
3031.48,821,775,46,42,251,0.0
3044.41,827,780,47,42,253,0.0
3056.78,822,778,44,42,251,0.0
3069.31,823,776,47,42,250,0.0
3082.89,823,781,42,43,253,0.0
3095.55,824,776,48,42,252,0.0
3109.33,829,777,52,43,253,0.0
3121.95,826,779,47,42,252,0.0
3134.62,825,783,42,41,251,0.0
3148.42,826,778,48,42,253,0.0
3161.26,826,777,49,42,251,0.0
3175.11,829,781,48,42,254,0.0
3187.43,825,776,49,41,252,0.0
3199.87,823,774,49,42,252,0.0
3213.09,820,778,42,42,252,0.0
3225.68,823,777,46,42,249,0.0
3239.25,827,782,45,41,253,0.0
3251.66,823,779,44,42,252,0.0
3264.43,821,779,42,42,251,0.0
3277.8,829,782,47,41,253,0.0
3290.26,826,776,50,42,252,0.0
3303.65,828,781,47,42,253,0.0
3316.16,825,783,42,41,252,0.0
3328.76,824,774,50,41,251,0.0
3342.55,828,781,47,41,253,0.0
3355.05,823,778,45,43,252,0.0
3368.02,830,781,49,42,253,0.0
