time_ms,temp_0,temp_1,temp_0-1,diff_p,abs_p,sfm3300
0.87,818,775,43,41,251,0.0
13.16,821,777,44,41,251,0.0
25.35,820,775,45,41,251,0.0
37.98,821,777,44,41,252,0.0
50.33,823,779,44,42,252,0.0
62.27,820,776,44,42,252,0.0
75.78,824,780,44,41,253,0.0
87.64,824,776,48,42,251,0.0
99.42,824,780,44,42,253,0.0
111.25,824,780,44,42,253,0.0
122.88,821,777,44,42,251,0.0
135.66,824,780,44,42,253,0.0
147.54,824,780,44,42,253,-0.0333
159.38,824,780,44,42,253,0.0
171.32,823,781,42,41,253,0.0
183.07,820,776,44,42,251,0.0
195.17,824,780,44,42,253,0.0
207.03,824,780,44,41,253,0.0
218.8,821,775,46,41,251,0.0
231.56,825,780,45,42,253,0.0
243.4,818,775,43,41,252,0.0
255.3,824,780,44,42,253,0.0
267.17,824,778,46,41,252,0.0
278.88,821,777,44,41,251,0.0
292.42,824,780,44,41,253,0.0
304.27,825,776,49,42,251,0.0
316.23,818,773,45,41,251,0.0
328.65,823,780,43,41,253,0.0
340.41,818,775,43,42,252,0.0
352.98,822,770,52,41,250,0.0
365.73,826,776,50,41,252,0.0
378.14,823,776,47,42,252,0.0
391.37,828,780,48,41,253,0.0
403.62,824,776,48,42,251,0.0
417.27,827,781,46,42,253,0.0
429.53,825,777,48,41,252,0.0
441.84,825,778,47,40,252,0.0
455.24,831,781,50,42,253,0.0
467.98,831,774,57,42,252,0.0
481.21,829,781,48,41,253,0.0
493.67,825,778,47,42,252,0.0
506.36,828,778,50,41,251,0.0
519.79,828,782,46,42,253,0.0
532.24,826,779,47,43,252,0.0
545.8,831,780,51,41,252,0.0
558.3,821,779,42,42,251,0.0
570.9,830,782,48,42,253,0.0
583.71,826,779,47,42,252,0.0
596.51,823,776,47,41,251,0.0
609.58,829,781,48,42,254,0.0
622.03,824,777,47,42,252,0.0
635.56,831,783,48,42,253,0.0
648.91,827,778,49,42,252,0.0
665.81,824,779,45,42,249,0.0
678.42,823,776,47,41,251,0.0
691.23,824,775,49,41,251,0.0
705.53,826,779,47,42,252,0.0
718.66,825,777,48,41,250,0.0
731.99,824,777,47,41,253,0.0
745.07,827,776,51,42,252,0.0
758.86,819,772,47,41,249,0.0
771.84,819,774,45,42,251,0.0
783.94,818,774,44,42,251,0.0
797.54,819,775,44,43,251,0.0
809.71,816,768,48,41,248,0.0
823.01,819,773,46,41,251,0.0
835.64,818,775,43,41,251,0.0
847.67,820,775,45,42,251,0.0
859.95,823,780,43,41,252,0.0
872.13,821,774,47,42,251,0.0
885.32,823,777,46,42,252,0.0
897.23,824,780,44,41,251,0.0
913.93,819,776,43,41,252,0.0
925.97,824,779,45,40,253,0.0
937.84,818,775,43,42,251,0.0
950.1,824,779,45,41,253,0.0
962.13,824,780,44,42,252,0.0
974.15,824,780,44,41,252,0.0
986.43,823,779,44,41,253,0.0
998.44,818,776,42,42,251,0.0
1011.64,823,779,44,42,252,0.0
1023.55,824,779,45,41,252,0.0
1035.62,818,775,43,42,251,0.0
1048.64,819,776,43,40,251,0.0
1060.78,814,775,39,41,252,0.0
1074.18,823,775,48,42,251,0.0
1087.17,822,779,43,41,252,0.0
1099.18,824,771,53,41,252,0.0
1111.35,824,779,45,41,252,0.0
1123.22,819,775,44,40,251,0.0
1136.1,823,779,44,42,253,0.0
1147.97,819,775,44,42,251,0.0
1160.09,819,775,44,41,252,0.0
1172.55,823,780,43,42,252,0.0
1184.53,819,776,43,42,251,0.0
1197.78,822,780,42,41,252,0.0
1209.67,819,775,44,42,251,0.0
1221.67,821,775,46,42,250,0.0
1234.53,824,780,44,41,252,0.0
1246.46,817,775,42,41,251,-0.0333
