time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
0.72,820,777,43,42,251,0.0
12.91,823,780,43,42,253,0.0
24.79,820,775,45,41,252,0.0
36.99,819,776,43,41,251,0.0
50.08,821,776,45,42,251,0.0
62.98,820,775,45,43,251,0.0
76.15,819,775,44,41,252,0.0
88.6,820,775,45,41,252,0.0
105.96,819,780,39,41,253,0.0
118.28,825,781,44,41,253,0.0
130.45,824,781,43,41,253,0.0
142.36,824,780,44,43,253,0.0
155.0,820,777,43,42,251,0.0
167.44,824,781,43,41,251,0.0
179.35,827,780,47,41,253,0.0
191.15,825,781,44,41,253,0.0
203.1,823,786,37,42,253,0.0
215.52,818,777,41,42,252,0.0
228.28,823,780,43,42,253,0.0
240.17,823,788,35,42,253,0.0
252.08,823,781,42,41,253,0.0
264.28,824,780,44,42,252,0.0
276.09,824,787,37,42,253,0.0
288.15,822,779,43,41,253,0.0333
300.21,823,780,43,41,253,0.0
312.03,818,776,42,41,252,0.0
324.76,824,780,44,41,253,0.0
336.67,823,778,45,41,251,0.0
349.16,821,778,43,42,254,0.0
361.63,825,781,44,42,253,0.0
373.52,820,775,45,42,252,0.0
386.3,825,781,44,42,253,0.0
398.23,824,781,43,42,253,0.0
410.33,821,778,43,41,253,0.0
422.8,825,781,44,42,253,0.0
434.72,821,778,43,41,252,0.0
447.85,825,781,44,40,253,0.0
459.75,824,780,44,41,253,0.0
471.82,821,776,45,40,251,0.0
484.5,824,781,43,42,253,0.0
496.29,820,778,42,41,252,0.0
508.95,824,779,45,43,254,0.0
520.85,825,780,45,43,253,0.0
532.87,821,777,44,41,251,0.0
545.63,823,784,39,42,253,0.0
557.44,824,781,43,42,253,0.0
569.49,826,781,45,42,253,0.0
581.66,826,781,45,41,253,0.0
593.46,819,775,44,42,251,0.0
606.27,825,781,44,42,253,0.0
618.21,825,781,44,42,253,0.0
630.18,824,782,42,42,253,0.0
642.08,825,782,43,42,253,0.0
653.95,823,777,46,41,252,0.0
666.38,825,781,44,42,253,0.0
678.3,824,781,43,42,253,0.0
690.34,825,778,47,41,251,0.0
702.64,824,781,43,42,254,0.0
714.45,822,778,44,41,251,0.0
727.57,825,781,44,41,253,0.0
739.46,823,780,43,42,252,0.0
751.51,820,776,44,42,251,0.0
764.05,826,780,46,41,253,0.0333
776.09,820,778,42,42,252,0.0
788.75,825,782,43,42,253,0.0
800.66,825,781,44,42,253,0.0
812.39,821,777,44,42,252,0.0
825.26,826,781,45,42,253,0.0
837.24,826,780,46,42,253,0.0
849.31,825,781,44,42,253,0.0
861.14,824,782,42,41,253,0.0
872.9,824,780,44,43,253,0.0333
884.92,825,782,43,42,253,0.0
896.78,819,776,43,43,252,0.0
908.68,826,781,45,41,253,0.0
920.54,825,781,44,42,253,0.0
932.27,823,780,43,42,253,0.0
944.35,831,782,49,43,254,0.0
956.98,828,780,48,42,253,0.0
969.68,828,779,49,42,253,0.0
982.37,831,782,49,41,254,0.0
994.89,831,781,50,43,254,0.0
1007.67,831,783,48,43,254,0.0
1020.13,829,780,49,42,253,0.0
1032.79,831,782,49,42,253,0.0
1045.62,828,782,46,42,253,0.0
1058.17,828,781,47,42,253,0.0
1070.66,828,782,46,42,253,0.0
1082.97,825,779,46,43,252,0.0
1095.34,828,781,47,42,253,0.0
1107.83,829,780,49,43,253,0.0
1120.18,828,779,49,42,252,0.0
1132.69,830,781,49,41,254,0.0
1144.98,824,777,47,42,252,0.0
1157.41,823,782,41,40,251,0.0
1169.85,829,782,47,41,254,0.0
1182.17,828,781,47,43,253,0.0
1194.64,830,781,49,42,253,0.0
1206.91,826,778,48,42,252,0.0
1219.34,828,781,47,42,253,0.0
1231.83,829,782,47,42,253,0.0
1244.14,828,781,47,41,253,0.0
1256.65,829,782,47,41,253,0.0
1269.01,826,779,47,42,252,0.0
1281.5,830,780,50,42,253,0.0
1294.05,830,781,49,42,254,0.0
1306.43,830,780,50,42,253,0.0
1319.02,830,775,55,42,254,0.0
1331.32,826,777,49,41,252,0.0
1343.7,827,781,46,42,253,0.0
1356.16,827,782,45,42,253,0.0
1368.54,826,782,44,43,252,0.0
1381.13,830,782,48,42,253,0.0
1393.44,825,779,46,42,252,0.0
1405.82,827,782,45,42,253,0.0
1418.38,829,782,47,41,253,0.0
1430.72,829,780,49,42,253,0.0
1443.2,829,782,47,42,253,0.0
1455.66,825,777,48,41,253,0.0
1468.2,830,780,50,42,253,0.0
1480.74,829,782,47,43,256,0.0
1493.12,829,780,49,41,253,0.0
1505.61,830,779,51,42,253,0.0
1517.99,825,778,47,41,252,0.0
1530.36,829,781,48,42,253,0.0
1542.87,828,780,48,41,254,0.0
1555.42,828,780,48,42,253,0.0
1568.02,830,782,48,42,252,0.0
1580.31,827,779,48,41,252,0.0
1592.73,829,782,47,43,253,0.0
1605.29,830,783,47,42,254,0.0
1617.64,830,782,48,42,253,0.0
1630.1,828,781,47,41,254,0.0
1642.38,826,777,49,41,253,0.0
1654.76,831,780,51,42,253,0.0
1667.38,825,783,42,42,253,0.0
1679.75,829,779,50,42,253,0.0
1692.18,829,781,48,42,253,0.0
1704.49,824,778,46,41,251,0.0
1717.05,827,782,45,42,253,0.0
1729.64,829,782,47,41,253,0.0
1741.96,828,780,48,42,253,0.0
1754.49,825,776,49,43,252,0.0
1767.6,826,777,49,42,253,0.0
1780.14,830,782,48,42,253,0.0
1792.59,830,782,48,42,254,0.0
1804.89,828,781,47,41,254,0.0
1817.79,831,783,48,41,253,0.0
1830.1,826,779,47,41,252,0.0
1842.46,829,783,46,42,252,0.0
1854.84,828,782,46,41,253,-0.0333
1867.04,827,778,49,42,253,0.0
1880.19,830,781,49,42,254,0.0
1892.47,827,778,49,42,252,0.0
1904.91,830,782,48,42,253,0.0
1917.46,829,782,47,42,253,0.0
1929.69,826,779,47,41,252,0.0
1942.72,828,782,46,42,253,0.0
1955.04,827,780,47,42,252,0.0
1967.59,827,784,43,41,254,0.0
1980.58,830,782,48,43,254,0.0
1993.01,827,779,48,42,252,0.0
2006.34,829,782,47,41,253,0.0
2018.86,827,779,48,42,252,0.0
2031.68,831,781,50,41,253,0.0
2044.66,829,780,49,41,252,0.0
2058.25,829,782,47,42,253,0.0
2070.9,828,782,46,41,253,0.0
2083.42,830,782,48,41,253,0.0
2096.22,828,783,45,42,253,0.0
2108.67,826,778,48,42,252,0.0
2121.28,828,779,49,42,253,0.0
2134.47,831,783,48,42,254,0.0
2147.07,830,779,51,43,256,0.0
2160.03,824,781,43,42,253,0.0
2171.9,821,777,44,41,252,0.0
2183.83,825,783,42,43,253,0.0
2195.69,825,781,44,42,254,0.0
2207.41,824,780,44,42,253,0.0
