time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
-7.99,814,788,26,49,260,0.0
2.02,807,789,18,49,260,0.0
12.02,814,789,25,49,260,0.0
22.01,811,784,27,49,259,0.0
32.02,814,788,26,51,260,0.0
42.02,814,787,27,49,260,-0.0333
52.01,810,782,28,51,258,0.0
62.01,812,787,25,48,259,0.0
72.02,814,787,27,49,259,0.0
82.02,810,783,27,49,259,0.0
92.02,814,782,32,47,260,0.0
102.02,814,787,27,49,260,0.0
112.01,814,784,30,49,258,0.0
122.05,811,783,28,50,259,0.0
132.01,814,787,27,50,260,0.0
142.01,813,788,25,49,259,-0.0333
152.04,811,783,28,49,259,0.0
162.01,810,784,26,50,260,0.0
172.01,814,788,26,50,259,0.0
182.04,810,784,26,50,259,0.0
192.01,814,787,27,51,260,0.0
202.02,814,787,27,48,260,0.0
212.02,810,783,27,50,258,0.0333
222.01,814,788,26,49,260,0.0
232.01,814,788,26,49,259,0.0
242.01,812,784,28,51,258,0.0
252.02,804,780,24,49,257,0.0
262.01,810,785,25,48,260,-0.0333
272.01,810,777,33,49,260,0.0
282.06,810,783,27,49,258,0.0
292.03,814,788,26,49,260,0.0
302.02,813,788,25,49,259,0.0
312.03,808,783,25,49,258,0.0
322.03,812,789,23,50,259,-0.0333
332.02,814,787,27,50,260,0.0
342.01,810,784,26,49,259,0.0
352.03,815,788,27,48,260,0.0
362.02,814,788,26,49,260,0.0
372.03,810,782,28,50,258,0.0
382.02,810,783,27,50,257,0.0
392.02,814,788,26,50,259,0.0
402.01,810,782,28,51,259,0.0
412.04,808,781,27,50,259,0.0
422.02,812,789,23,50,260,0.0
432.02,814,786,28,48,259,0.0
442.02,810,783,27,50,259,0.0
452.02,812,788,24,49,261,0.0
462.02,815,787,28,50,259,0.0
472.01,811,784,27,50,259,0.0
482.03,807,784,23,50,259,0.0
492.03,814,788,26,49,260,0.0
502.01,809,783,26,51,258,0.0
512.02,810,780,30,51,257,0.0
522.03,812,787,25,51,259,0.0
532.03,806,778,28,48,254,0.0
542.04,807,780,27,49,259,0.0
552.04,811,782,29,50,259,0.0
562.02,814,786,28,49,260,0.0
572.01,810,782,28,49,258,0.0
582.01,811,783,28,50,259,0.0
592.01,813,787,26,48,259,-0.0333
602.02,810,783,27,49,258,0.0
612.02,810,781,29,50,258,0.0
622.03,813,787,26,49,259,0.0
632.03,809,779,30,49,258,0.0
642.02,809,784,25,51,257,0.0
652.05,814,787,27,48,260,0.0
662.01,813,787,26,49,259,0.0
672.02,812,781,31,50,258,0.0
682.02,810,783,27,50,259,0.0
692.01,813,787,26,50,259,0.0
702.66,808,779,29,50,256,0.0
712.03,813,788,25,50,259,0.0333
722.03,812,787,25,49,259,0.0
732.02,807,778,29,50,257,0.0
742.06,809,782,27,49,257,0.0
752.02,810,784,26,49,259,0.0
762.03,809,782,27,49,258,0.0
772.01,810,784,26,50,258,0.0
782.03,810,783,27,50,259,0.0
792.03,810,784,26,47,258,0.0
802.02,809,784,25,48,259,0.0
812.03,808,787,21,48,259,0.0
822.02,813,784,29,49,257,0.0
832.02,809,782,27,49,259,0.0
842.03,815,787,28,49,259,0.0
852.02,815,787,28,49,260,0.0
862.03,809,776,33,49,258,0.0
872.03,810,784,26,50,259,0.0
882.01,811,783,28,50,258,0.0
892.03,809,783,26,49,258,0.0
902.05,811,781,30,50,258,0.0
912.03,815,785,30,50,260,0.0
922.03,809,784,25,50,258,0.0
932.02,808,781,27,48,258,-0.0333
942.01,814,786,28,50,260,0.0
952.03,808,783,25,49,259,0.0
962.05,810,783,27,49,258,0.0
972.03,815,787,28,49,260,0.0
982.02,807,785,22,48,258,0.0
