 pres temp vfr mfr    comp
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3454    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3454    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3454    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.51 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
