pres	temp	vfr	mfr	comp
31.07	25.43	0.0257	0.0543	Air
31.07	25.43	0.0257	0.0543	Air
31.07	25.43	0.0257	0.0543	Air
31.08	25.43	0.0257	0.0544	Air
31.08	25.43	0.0257	0.0542	Air
31.08	25.43	0.0256	0.0541	Air
31.07	25.43	0.0256	0.0541	Air
31.08	25.43	0.0256	0.0541	Air
31.08	25.43	0.0256	0.0541	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0539	Air
31.08	25.43	0.0255	0.0538	Air
31.08	25.43	0.0255	0.0538	Air
31.08	25.43	0.0255	0.0538	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0254	0.0536	Air
31.08	25.43	0.0252	0.0533	Air
31.08	25.43	0.0252	0.0533	Air
31.08	25.43	0.0252	0.0533	Air
31.08	25.43	0.0252	0.0533	Air
31.08	25.43	0.0253	0.0534	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.0251	0.053	Air
31.08	25.43	0.025	0.0527	Air
31.08	25.43	0.025	0.0527	Air
31.08	25.43	0.025	0.0527	Air
31.08	25.43	0.025	0.0527	Air
31.08	25.43	0.025	0.0527	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0248	0.0523	Air
31.08	25.43	0.0246	0.052	Air
31.08	25.43	0.0246	0.052	Air
31.09	25.43	0.0246	0.052	Air
31.09	25.43	0.0246	0.052	Air
31.09	25.43	0.0246	0.0519	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0244	0.0515	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0244	0.0516	Air
31.09	25.43	0.0243	0.0512	Air
31.09	25.43	0.0243	0.0512	Air
31.09	25.43	0.0243	0.0512	Air
31.09	25.43	0.0242	0.0512	Air
31.09	25.43	0.0242	0.0512	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.0237	0.05	Air
31.09	25.43	0.0232	0.049	Air
31.09	25.43	0.0228	0.0481	Air
31.09	25.43	0.0226	0.0477	Air
31.09	25.43	0.0225	0.0475	Air
31.1	25.43	0.0225	0.0475	Air
31.1	25.43	0.0224	0.0474	Air
31.1	25.43	0.0224	0.0474	Air
31.1	25.43	0.0224	0.0473	Air
31.1	25.43	0.0223	0.0471	Air
31.1	25.43	0.0223	0.0471	Air
31.1	25.43	0.0223	0.0471	Air
31.1	25.43	0.0223	0.0471	Air
31.1	25.43	0.0221	0.0467	Air
31.1	25.43	0.0221	0.0466	Air
31.1	25.43	0.022	0.0465	Air
31.1	25.43	0.022	0.0465	Air
31.1	25.43	0.022	0.0465	Air
31.11	25.43	0.0218	0.046	Air
31.1	25.43	0.0217	0.0459	Air
31.11	25.43	0.0217	0.0458	Air
31.11	25.43	0.0216	0.0458	Air
31.11	25.43	0.0217	0.0458	Air
31.11	25.43	0.0216	0.0457	Air
31.11	25.43	0.0216	0.0458	Air
31.11	25.43	0.0216	0.0457	Air
31.11	25.43	0.0216	0.0457	Air
31.11	25.43	0.0216	0.0457	Air
31.11	25.43	0.0216	0.0457	Air
31.11	25.43	0.0216	0.0457	Air
31.11	25.43	0.0216	0.0456	Air
31.11	25.43	0.0216	0.0456	Air
31.11	25.43	0.0215	0.0455	Air
31.11	25.43	0.0215	0.0454	Air
31.11	25.43	0.0214	0.0454	Air
31.11	25.43	0.0214	0.0454	Air
31.11	25.43	0.0214	0.0453	Air
31.11	25.43	0.0207	0.0438	Air
31.12	25.43	0.0203	0.0429	Air
31.12	25.43	0.0202	0.0428	Air
31.12	25.43	0.0202	0.0428	Air
31.12	25.43	0.0202	0.0428	Air
31.12	25.43	0.0202	0.0428	Air
31.12	25.43	0.02	0.0424	Air
31.12	25.43	0.0198	0.0418	Air
31.12	25.43	0.0194	0.041	Air
31.12	25.43	0.0193	0.0409	Air
31.12	25.43	0.0193	0.0408	Air
31.13	25.43	0.0193	0.0408	Air
