1281696
1281696
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
1537 , 433 , 0.13 , 0.00
1563 , 431 , 0.13 , 0.00
1591 , 429 , 0.10 , 0.00
1617 , 427 , 0.13 , 0.00
1645 , 425 , 0.13 , 0.01
1672 , 424 , 0.13 , 0.01
1698 , 422 , 0.13 , 0.01
1726 , 420 , 0.13 , 0.01
1753 , 418 , 0.13 , 0.01
1780 , 417 , 0.13 , 0.01
1807 , 415 , 0.13 , 0.01
1833 , 414 , 0.13 , 0.02
1861 , 412 , 0.13 , 0.02
1888 , 411 , 0.13 , 0.02
1915 , 409 , 0.13 , 0.02
1942 , 408 , 0.13 , 0.02
1969 , 406 , 0.13 , 0.02
1996 , 405 , 0.13 , 0.02
2023 , 403 , 0.13 , 0.03
2051 , 402 , 0.13 , 0.03
2077 , 400 , 0.13 , 0.03
2104 , 399 , 0.13 , 0.03
2131 , 397 , 0.17 , 0.03
2158 , 396 , 0.13 , 0.03
2186 , 394 , 0.13 , 0.03
2212 , 393 , 0.13 , 0.03
2240 , 392 , 0.13 , 0.04
2267 , 390 , 0.13 , 0.04
2293 , 389 , 0.13 , 0.04
2321 , 388 , 0.13 , 0.04
2348 , 386 , 0.13 , 0.04
2375 , 385 , 0.13 , 0.04
2402 , 383 , 0.13 , 0.04
2428 , 382 , 0.13 , 0.05
2456 , 381 , 0.17 , 0.05
2483 , 379 , 0.13 , 0.05
2510 , 378 , 0.17 , 0.05
2537 , 377 , 0.13 , 0.05
2564 , 376 , 0.13 , 0.05
2591 , 375 , 0.13 , 0.05
2618 , 373 , 0.13 , 0.06
2646 , 372 , 0.13 , 0.06
2672 , 371 , 0.13 , 0.06
2699 , 369 , 0.13 , 0.06
2726 , 368 , 0.13 , 0.06
2753 , 367 , 0.13 , 0.06
2781 , 366 , 0.13 , 0.06
2807 , 364 , 0.13 , 0.06
2835 , 363 , 0.17 , 0.07
2862 , 362 , 0.13 , 0.07
2888 , 361 , 0.13 , 0.07
2916 , 360 , 0.13 , 0.07
2942 , 359 , 0.13 , 0.07
2970 , 358 , 0.13 , 0.07
2997 , 356 , 0.13 , 0.07
3023 , 355 , 0.13 , 0.08
3051 , 354 , 0.13 , 0.08
3078 , 353 , 0.13 , 0.08
3105 , 352 , 0.13 , 0.08
3132 , 351 , 0.13 , 0.08
3159 , 350 , 0.17 , 0.08
3186 , 349 , 0.13 , 0.08
3213 , 348 , 0.13 , 0.09
3240 , 347 , 0.13 , 0.09
3267 , 346 , 0.13 , 0.09
3294 , 345 , 0.13 , 0.09
3321 , 344 , 0.13 , 0.09
3348 , 343 , 0.13 , 0.09
3376 , 342 , 0.13 , 0.09
3402 , 341 , 0.13 , 0.09
3430 , 340 , 0.13 , 0.10
3457 , 339 , 0.13 , 0.10
3483 , 338 , 0.13 , 0.10
3511 , 337 , 0.13 , 0.10
3537 , 336 , 0.13 , 0.10
3565 , 335 , 0.13 , 0.10
3592 , 334 , 0.13 , 0.10
3618 , 333 , 0.13 , 0.11
3646 , 332 , 0.13 , 0.11
3673 , 331 , 0.13 , 0.11
3700 , 330 , 0.13 , 0.11
3727 , 329 , 0.13 , 0.11
3753 , 328 , 0.13 , 0.11
3781 , 327 , 0.13 , 0.11
3808 , 327 , 0.13 , 0.11
3835 , 326 , 0.13 , 0.12
3862 , 325 , 0.13 , 0.12
3889 , 324 , 0.13 , 0.12
3916 , 323 , 0.13 , 0.12
3943 , 322 , 0.13 , 0.12
3971 , 321 , 0.13 , 0.12
3997 , 320 , 0.13 , 0.12
4025 , 319 , 0.17 , 0.13
4051 , 319 , 0.13 , 0.13
4078 , 318 , 0.17 , 0.13
4106 , 317 , 0.13 , 0.13
4132 , 316 , 0.13 , 0.13
4160 , 315 , 0.13 , 0.13
4187 , 314 , 0.13 , 0.13
4213 , 314 , 0.13 , 0.14
4241 , 313 , 0.13 , 0.14
4268 , 312 , 0.13 , 0.14
4295 , 311 , 0.13 , 0.14
4322 , 310 , 0.13 , 0.14
4348 , 309 , 0.13 , 0.14
4376 , 308 , 0.13 , 0.14
4403 , 308 , 0.17 , 0.14
4430 , 307 , 0.13 , 0.14
4457 , 306 , 0.13 , 0.14
4484 , 306 , 0.13 , 0.14
4511 , 305 , 0.13 , 0.14
4538 , 304 , 0.13 , 0.14
4566 , 303 , 0.13 , 0.14
4592 , 303 , 0.13 , 0.14
4619 , 302 , 0.13 , 0.14
4646 , 301 , 0.13 , 0.14
4673 , 301 , 0.13 , 0.14
4701 , 300 , 0.13 , 0.14
4727 , 299 , 0.13 , 0.14
4755 , 298 , 0.13 , 0.14
4782 , 298 , 0.13 , 0.14
4808 , 297 , 0.13 , 0.14
4836 , 296 , 0.17 , 0.14
4862 , 296 , 0.13 , 0.14
4890 , 295 , 0.13 , 0.14
4917 , 294 , 0.13 , 0.14
4943 , 294 , 0.13 , 0.14
4971 , 293 , 0.13 , 0.14
4998 , 292 , 0.13 , 0.14
5025 , 292 , 0.13 , 0.14
5052 , 291 , 0.13 , 0.14
5079 , 291 , 0.13 , 0.14
5106 , 290 , 0.13 , 0.14
5133 , 289 , 0.13 , 0.14
5160 , 289 , 0.13 , 0.14
5187 , 288 , 0.13 , 0.14
5214 , 288 , 0.13 , 0.14
5241 , 287 , 0.13 , 0.14
5268 , 286 , 0.13 , 0.14
5296 , 286 , 0.13 , 0.14
5322 , 285 , 0.13 , 0.14
5349 , 285 , 0.13 , 0.14
5377 , 284 , 0.13 , 0.14
