header,,,,,,,
data_begin,,,,,,,
time_ms,desired_flowrate,avgd_flowrate,error,kp,control_effort,current_pos,new_goal_pos
5449,0.02,0,0.02,350,-6,0,-6
5604,0.02,0,0.02,350,-6,-6,-12
5751,0.02,0,0.02,350,-6,-12,-18
5899,0.02,0,0.02,350,-6,-18,-24
6046,0.02,0,0.02,350,-6,-24,-30
6193,0.02,0,0.02,350,-6,-30,-36
6340,0.02,0,0.02,350,-6,-36,-42
6488,0.02,0,0.02,350,-6,-42,-48
6635,0.02,0,0.02,350,-6,-48,-54
6782,0.02,0,0.02,350,-6,-54,-60
6930,0.02,0,0.02,350,-6,-60,-66
7077,0.02,0,0.02,350,-6,-66,-72
7225,0.02,0,0.02,350,-6,-72,-78
7372,0.02,0,0.02,350,-6,-78,-84
7520,0.02,0,0.02,350,-6,-84,-90
7667,0.02,0,0.02,350,-6,-90,-96
7816,0.02,0,0.02,350,-6,-96,-102
7964,0.02,0,0.02,350,-6,-102,-108
8113,0.02,0,0.02,350,-5,-108,-113
8267,0.02,0,0.02,350,-5,-113,-118
8423,0.02,0,0.02,350,-5,-118,-123
8579,0.02,0.01,0.01,350,-5,-123,-128
8734,0.02,0.01,0.01,350,-4,-128,-132
8852,0.02,0.01,0.01,350,-4,-132,-136
8969,0.02,0.01,0.01,350,-3,-136,-139
9083,0.02,0.01,0.01,350,-2,-139,-141
9159,0.02,0.01,0.01,350,-2,-141,-143
9234,0.02,0.01,0.01,350,-1,-143,-144
9286,0.02,0.01,0.01,350,-1,-144,-145
9339,0.02,0.02,0,350,-1,-145,-146
9392,0.02,0.02,0,350,-1,-146,-147
9444,0.02,0.02,0,350,-1,-147,-148
9498,0.02,0.02,0,350,-1,-148,-149
9555,0.02,0.02,0,350,-1,-149,-150
9613,0.02,0.02,0,350,0,-150,-150
9670,0.02,0.02,0,350,0,-150,-150
9725,0.02,0.02,0,350,0,-150,-150
9782,0.02,0.02,0,350,0,-150,-150
9838,0.02,0.02,0,350,0,-150,-150
9894,0.02,0.02,0,350,0,-150,-150
9951,0.02,0.02,0,350,0,-150,-150
10007,0.02,0.02,0,350,0,-150,-150
10064,0.02,0.02,0,350,0,-150,-150
10121,0.02,0.02,0,350,0,-150,-150
10178,0.02,0.02,0,350,0,-150,-150
10235,0.02,0.02,0,350,0,-150,-150
10293,0.02,0.02,0,350,0,-150,-150
10350,0.02,0.02,0,350,0,-150,-150
10407,0.02,0.02,0,350,0,-150,-150
10465,0.02,0.02,0,350,0,-150,-150
10521,0.02,0.02,0,350,0,-150,-150
10578,0.02,0.02,0,350,0,-150,-150
10636,0.02,0.02,0,350,0,-150,-150
10693,0.02,0.02,0,350,0,-150,-150
10750,0.02,0.02,0,350,0,-150,-150
10808,0.02,0.02,0,350,0,-150,-150
10865,0.02,0.02,0,350,0,-150,-150
10921,0.02,0.02,0,350,0,-150,-150
10979,0.02,0.02,0,350,0,-150,-150
11036,0.02,0.02,0,350,0,-150,-150
11094,0.02,0.02,0,350,0,-150,-150
11151,0.02,0.02,0,350,0,-150,-150
11208,0.02,0.02,0,350,0,-150,-150
11266,0.02,0.02,0,350,-1,-150,-151
11323,0.02,0.02,0,350,0,-151,-151
11380,0.02,0.02,0,350,0,-151,-151
11438,0.02,0.02,0,350,0,-151,-151
11495,0.02,0.02,0,350,0,-151,-151
11552,0.02,0.02,0,350,0,-151,-151
11610,0.02,0.02,0,350,0,-151,-151
11667,0.02,0.02,0,350,0,-151,-151
11723,0.02,0.02,0,350,0,-151,-151
11781,0.02,0.02,0,350,0,-151,-151
11838,0.02,0.02,0,350,0,-151,-151
11895,0.02,0.02,0,350,0,-151,-151
11953,0.02,0.02,0,350,0,-151,-151
12010,0.02,0.02,0,350,0,-151,-151
12067,0.02,0.02,0,350,0,-151,-151
12125,0.02,0.02,0,350,0,-151,-151
12181,0.02,0.02,0,350,0,-151,-151
12238,0.02,0.02,0,350,0,-151,-151
12296,0.02,0.02,0,350,0,-151,-151
12353,0.02,0.02,0,350,0,-151,-151
12410,0.02,0.02,0,350,0,-151,-151
12468,0.02,0.02,0,350,0,-151,-151
12525,0.02,0.02,0,350,0,-151,-151
12581,0.02,0.02,0,350,0,-151,-151
12639,0.02,0.02,0,350,0,-151,-151
12696,0.02,0.02,0,350,0,-151,-151
12753,0.02,0.02,0,350,0,-151,-151
12811,0.02,0.02,0,350,0,-151,-151
12868,0.02,0.02,0,350,0,-151,-151
12925,0.02,0.02,0,350,0,-151,-151
