 pres temp vfr mfr    comp
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0000    Air
 +031.46 +025.06 +0.0000 +0.0001    Air
 +031.46 +025.06 +0.0001 +0.0002    Air
 +031.46 +025.06 +0.0001 +0.0002    Air
 +031.46 +025.06 +0.0002 +0.0003    Air
 +031.46 +025.06 +0.0002 +0.0004    Air
 +031.46 +025.06 +0.0002 +0.0004    Air
 +031.46 +025.06 +0.0003 +0.0005    Air
 +031.46 +025.06 +0.0003 +0.0006    Air
 +031.46 +025.06 +0.0004 +0.0007    Air
 +031.46 +025.06 +0.0004 +0.0008    Air
 +031.46 +025.06 +0.0004 +0.0009    Air
 +031.46 +025.06 +0.0005 +0.0010    Air
 +031.46 +025.06 +0.0005 +0.0011    Air
 +031.46 +025.06 +0.0005 +0.0011    Air
 +031.46 +025.06 +0.0006 +0.0012    Air
 +031.46 +025.06 +0.0006 +0.0013    Air
 +031.46 +025.06 +0.0007 +0.0014    Air
 +031.46 +025.06 +0.0007 +0.0015    Air
 +031.46 +025.06 +0.0007 +0.0016    Air
 +031.46 +025.06 +0.0008 +0.0016    Air
 +031.46 +025.06 +0.0008 +0.0017    Air
 +031.46 +025.06 +0.0008 +0.0017    Air
