128035
128035
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
1534 , 430 , 0.00 , 0.00
1561 , 428 , 0.00 , 0.00
1589 , 426 , 0.00 , 0.00
1615 , 424 , 0.00 , 0.00
1643 , 422 , 0.00 , 0.00
1670 , 420 , 0.00 , 0.00
1696 , 418 , 0.00 , 0.00
1724 , 417 , 0.00 , 0.00
1751 , 415 , 0.00 , 0.00
1778 , 413 , 0.03 , 0.00
1805 , 412 , 0.00 , 0.00
1831 , 410 , 0.00 , 0.00
1859 , 408 , 0.00 , 0.00
1886 , 407 , 0.00 , 0.00
1913 , 405 , 0.00 , 0.00
1940 , 404 , 0.00 , 0.00
1967 , 402 , 0.00 , 0.00
1994 , 400 , 0.00 , 0.00
2021 , 399 , 0.00 , 0.00
2049 , 397 , 0.00 , 0.00
2075 , 396 , 0.00 , 0.00
2102 , 394 , 0.03 , 0.00
2129 , 393 , 0.00 , 0.00
2156 , 391 , 0.00 , 0.00
2184 , 390 , 0.00 , 0.00
2210 , 389 , 0.00 , 0.00
2237 , 387 , 0.00 , 0.00
2265 , 386 , 0.00 , 0.00
2291 , 384 , 0.00 , 0.00
2319 , 383 , 0.00 , 0.00
2345 , 382 , 0.00 , 0.00
2372 , 380 , 0.00 , 0.00
2400 , 379 , 0.00 , 0.00
2426 , 378 , 0.00 , 0.00
2454 , 376 , 0.00 , 0.00
2481 , 375 , 0.00 , 0.00
2507 , 374 , 0.00 , 0.00
2535 , 372 , 0.00 , 0.00
2562 , 371 , 0.00 , 0.00
2589 , 370 , 0.00 , 0.00
2616 , 369 , 0.00 , 0.00
2643 , 368 , 0.00 , 0.00
2670 , 366 , 0.00 , 0.00
2697 , 365 , 0.00 , 0.00
2724 , 364 , 0.00 , 0.00
2751 , 362 , 0.00 , 0.00
2779 , 361 , 0.00 , 0.00
2805 , 360 , 0.00 , 0.00
2832 , 359 , 0.00 , 0.00
2860 , 358 , 0.00 , 0.00
2886 , 357 , 0.00 , 0.00
2914 , 356 , 0.00 , 0.00
2940 , 355 , 0.00 , 0.00
2967 , 353 , 0.00 , 0.00
2995 , 352 , 0.00 , 0.00
3021 , 351 , 0.00 , 0.00
3049 , 350 , 0.00 , 0.00
3076 , 349 , 0.00 , 0.00
3102 , 348 , 0.00 , 0.00
3130 , 347 , 0.00 , 0.00
3156 , 346 , 0.00 , 0.00
3184 , 344 , 0.00 , 0.00
3211 , 343 , 0.00 , 0.00
3237 , 342 , 0.00 , 0.00
3265 , 341 , 0.00 , 0.00
3292 , 340 , 0.00 , 0.00
3319 , 339 , 0.00 , 0.00
3346 , 338 , 0.00 , 0.00
3373 , 337 , 0.00 , 0.00
3400 , 336 , 0.00 , 0.00
3427 , 335 , 0.00 , 0.00
3454 , 334 , 0.00 , 0.00
3481 , 333 , 0.00 , 0.00
3509 , 332 , 0.00 , 0.00
3535 , 331 , 0.00 , 0.00
3562 , 330 , 0.00 , 0.00
3590 , 329 , 0.00 , 0.00
3616 , 328 , 0.00 , 0.00
3644 , 328 , 0.00 , 0.00
3671 , 328 , 0.00 , 0.00
3697 , 328 , 0.00 , 0.00
3725 , 328 , 0.00 , 0.00
3751 , 327 , 0.00 , 0.00
3779 , 326 , 0.00 , 0.00
3806 , 325 , 0.00 , 0.00
3832 , 324 , 0.00 , 0.00
3860 , 323 , 0.00 , 0.00
3887 , 322 , 0.00 , 0.00
3914 , 321 , 0.00 , 0.00
3941 , 320 , 0.00 , 0.00
3968 , 319 , 0.00 , 0.00
3995 , 318 , 0.00 , 0.00
4022 , 317 , 0.00 , 0.00
4049 , 316 , 0.00 , 0.00
4076 , 315 , 0.00 , 0.00
4103 , 314 , 0.00 , 0.00
4130 , 313 , 0.00 , 0.00
4157 , 312 , 0.00 , 0.00
4185 , 311 , 0.00 , 0.00
4211 , 310 , 0.00 , 0.00
4238 , 308 , 0.00 , 0.00
4265 , 307 , 0.00 , 0.00
4292 , 306 , 0.00 , 0.00
4320 , 305 , 0.00 , 0.00
4346 , 304 , 0.00 , 0.00
4374 , 303 , 0.00 , 0.00
4401 , 302 , 0.00 , 0.00
4427 , 302 , 0.00 , 0.00
4455 , 301 , 0.00 , 0.00
4482 , 300 , 0.00 , 0.00
4509 , 299 , 0.00 , 0.00
4536 , 298 , 0.00 , 0.00
4562 , 297 , 0.00 , 0.00
4590 , 296 , 0.00 , 0.00
4617 , 295 , 0.00 , 0.00
4644 , 295 , 0.00 , 0.00
4671 , 294 , 0.00 , 0.00
4698 , 293 , 0.00 , 0.00
4725 , 293 , 0.00 , 0.00
4752 , 292 , 0.00 , 0.00
4780 , 291 , 0.00 , 0.00
4806 , 290 , 0.00 , 0.00
4833 , 290 , 0.00 , 0.00
4860 , 289 , 0.00 , 0.00
4887 , 289 , 0.00 , 0.00
4915 , 288 , 0.00 , 0.00
4941 , 288 , 0.00 , 0.00
4968 , 288 , 0.00 , 0.00
4996 , 288 , 0.00 , 0.00
5022 , 289 , 0.00 , 0.00
5050 , 289 , 0.00 , 0.00
5076 , 289 , 0.00 , 0.00
5104 , 288 , 0.00 , 0.00
5131 , 288 , 0.00 , 0.00
5157 , 288 , 0.00 , 0.00
5185 , 287 , 0.00 , 0.00
5212 , 286 , 0.00 , 0.00
5239 , 286 , 0.00 , 0.00
5266 , 285 , 0.00 , 0.00
5293 , 285 , 0.00 , 0.00
5320 , 284 , 0.00 , 0.00
5347 , 284 , 0.00 , 0.00
5374 , 283 , 0.00 , 0.00
5401 , 283 , 0.00 , 0.00
5428 , 282 , 0.00 , 0.00
5455 , 282 , 0.00 , 0.00
5482 , 281 , 0.00 , 0.00
