128035
128035
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
553254 , 240 , 0.00 , 0.00
553283 , 240 , 0.00 , 0.00
553313 , 240 , 0.00 , 0.00
553341 , 240 , 0.00 , 0.00
553370 , 240 , 0.00 , 0.00
553400 , 240 , 0.00 , 0.00
553428 , 240 , 0.00 , 0.00
553458 , 240 , 0.00 , 0.00
553487 , 240 , 0.00 , 0.00
553517 , 240 , 0.00 , 0.00
553545 , 240 , 0.00 , 0.00
553574 , 240 , 0.00 , 0.00
553604 , 240 , 0.00 , 0.00
553632 , 240 , 0.00 , 0.00
553662 , 240 , 0.03 , 0.00
553691 , 240 , 0.00 , 0.00
553720 , 240 , 0.00 , 0.00
553749 , 240 , 0.00 , 0.00
553779 , 240 , 0.00 , 0.00
553807 , 240 , 0.00 , 0.00
553836 , 240 , 0.00 , 0.00
553866 , 240 , 0.00 , 0.00
553894 , 240 , 0.00 , 0.00
553924 , 240 , 0.00 , 0.00
553953 , 240 , 0.00 , 0.00
553982 , 240 , 0.00 , 0.00
554011 , 240 , 0.00 , 0.00
554040 , 240 , 0.00 , 0.00
554070 , 240 , 0.00 , 0.00
554098 , 240 , 0.00 , 0.00
554128 , 240 , 0.00 , 0.00
554157 , 240 , 0.00 , 0.00
554186 , 240 , 0.00 , 0.00
554215 , 240 , 0.00 , 0.00
554245 , 240 , 0.00 , 0.00
554273 , 240 , 0.00 , 0.00
554302 , 240 , 0.00 , 0.00
554332 , 240 , 0.00 , 0.00
554360 , 240 , 0.00 , 0.00
554390 , 240 , 0.00 , 0.00
554419 , 240 , 0.03 , 0.00
554448 , 240 , 0.00 , 0.00
554477 , 240 , 0.00 , 0.00
554506 , 240 , 0.00 , 0.00
554535 , 240 , 0.00 , 0.00
554564 , 240 , 0.00 , 0.00
554594 , 240 , 0.00 , 0.00
554622 , 240 , 0.00 , 0.00
554652 , 240 , 0.00 , 0.00
554681 , 240 , 0.00 , 0.00
554710 , 240 , 0.00 , 0.00
554739 , 240 , 0.00 , 0.00
554768 , 240 , 0.00 , 0.00
554798 , 240 , 0.00 , 0.00
554826 , 240 , 0.00 , 0.00
554856 , 240 , 0.00 , 0.00
554885 , 240 , 0.00 , 0.00
554914 , 240 , 0.00 , 0.00
554943 , 240 , 0.00 , 0.00
554972 , 240 , 0.00 , 0.00
555001 , 240 , 0.00 , 0.00
555030 , 240 , 0.00 , 0.00
555060 , 240 , 0.00 , 0.00
555088 , 240 , 0.00 , 0.00
555118 , 240 , 0.00 , 0.00
555147 , 240 , 0.00 , 0.00
555175 , 240 , 0.00 , 0.00
555205 , 240 , 0.00 , 0.00
555234 , 240 , 0.00 , 0.00
555264 , 240 , 0.00 , 0.00
555292 , 240 , 0.00 , 0.00
555322 , 240 , 0.00 , 0.00
555351 , 240 , 0.00 , 0.00
555380 , 240 , 0.00 , 0.00
555409 , 240 , 0.00 , 0.00
555438 , 240 , 0.00 , 0.00
555467 , 240 , 0.00 , 0.00
555496 , 240 , 0.00 , 0.00
555526 , 240 , 0.00 , 0.00
555554 , 240 , 0.00 , 0.00
555584 , 240 , 0.00 , 0.00
555613 , 240 , 0.00 , 0.00
555641 , 240 , 0.00 , 0.00
555671 , 240 , 0.00 , 0.00
555700 , 240 , 0.00 , 0.00
555729 , 240 , 0.00 , 0.00
555758 , 240 , 0.00 , 0.00
555788 , 240 , 0.00 , 0.00
555816 , 240 , 0.00 , 0.00
555846 , 240 , 0.00 , 0.00
555875 , 240 , 0.00 , 0.00
555904 , 240 , 0.00 , 0.00
555933 , 240 , 0.00 , 0.00
555962 , 240 , 0.00 , 0.00
555992 , 240 , 0.00 , 0.00
556020 , 240 , 0.00 , 0.00
556050 , 240 , 0.00 , 0.00
556079 , 240 , 0.00 , 0.00
556108 , 240 , 0.00 , 0.00
556137 , 240 , 0.00 , 0.00
556166 , 240 , 0.00 , 0.00
556195 , 240 , 0.00 , 0.00
556224 , 240 , 0.00 , 0.00
556254 , 240 , 0.00 , 0.00
556282 , 240 , 0.00 , 0.00
556312 , 240 , 0.00 , 0.00
556341 , 240 , 0.00 , 0.00
556369 , 240 , 0.00 , 0.00
556399 , 240 , 0.00 , 0.00
556428 , 240 , 0.00 , 0.00
556457 , 240 , 0.00 , 0.00
556486 , 240 , 0.00 , 0.00
556516 , 240 , 0.03 , 0.00
556545 , 240 , 0.00 , 0.00
556573 , 240 , 0.00 , 0.00
556603 , 240 , 0.00 , 0.00
556632 , 240 , 0.00 , 0.00
556661 , 240 , 0.00 , 0.00
