time_ms , sensor , currpos , mflow
29749 , b , -400 , 0.000000
29799 , b , -400 , 0.000000
29849 , b , -400 , 0.003333
29899 , b , -400 , 0.002667
29949 , b , -400 , 0.000000
29999 , b , -400 , 0.001333
30049 , b , -400 , 0.002667
30099 , b , -400 , 0.001333
30149 , b , -400 , 0.002667
30199 , b , -400 , 0.000667
30249 , b , -400 , 0.000667
30299 , b , -400 , 0.002000
30349 , b , -400 , 0.000000
30399 , b , -400 , 0.002000
30449 , b , -400 , 0.001333
30499 , b , -400 , 0.001333
30549 , b , -400 , 0.000667
30599 , b , -400 , 0.000000
30649 , b , -400 , 0.004000
30699 , b , -400 , 0.002667
30749 , b , -400 , 0.001333
30799 , b , -400 , 0.000667
30849 , b , -400 , 0.004000
30899 , b , -400 , 0.000667
30949 , b , -400 , 0.003333
30999 , b , -400 , 0.001333
31049 , b , -400 , 0.002000
31099 , b , -400 , 0.002000
31149 , b , -400 , 0.002667
31199 , b , -400 , 0.002000
31249 , b , -400 , 0.000000
31299 , b , -400 , 0.000667
31349 , b , -400 , 0.000667
31399 , b , -400 , 0.000667
31449 , b , -400 , 0.002000
31499 , b , -400 , 0.000667
31549 , b , -400 , 0.000667
31599 , b , -400 , 0.002000
31649 , b , -400 , 0.002000
31699 , b , -400 , 0.002000
31749 , b , -400 , -0.002667
32478 , b , -800 , 0.032667
32528 , b , -800 , 0.030667
32578 , b , -800 , 0.030000
32628 , b , -800 , 0.032667
32678 , b , -800 , 0.030667
32728 , b , -800 , 0.030667
32778 , b , -800 , 0.026667
32828 , b , -800 , 0.028667
32878 , b , -800 , 0.030667
32928 , b , -800 , 0.028667
32978 , b , -800 , 0.030000
33028 , b , -800 , 0.027333
33078 , b , -800 , 0.029333
33128 , b , -800 , 0.029333
33178 , b , -800 , 0.028000
33228 , b , -800 , 0.030667
33278 , b , -800 , 0.029333
33328 , b , -800 , 0.030667
33378 , b , -800 , 0.028000
33428 , b , -800 , 0.031333
33478 , b , -800 , 0.027333
33528 , b , -800 , 0.028000
33578 , b , -800 , 0.029333
33628 , b , -800 , 0.031333
33678 , b , -800 , 0.028667
33728 , b , -800 , 0.032000
33778 , b , -800 , 0.029333
33828 , b , -800 , 0.030667
33878 , b , -800 , 0.031333
33928 , b , -800 , 0.028667
33978 , b , -800 , 0.029333
34028 , b , -800 , 0.030000
34078 , b , -800 , 0.029333
34128 , b , -800 , 0.030000
34178 , b , -800 , 0.030667
34228 , b , -800 , 0.030000
34278 , b , -800 , 0.030000
34328 , b , -800 , 0.029333
34378 , b , -800 , 0.032000
34428 , b , -800 , 0.031333
34478 , b , -800 , 0.030000
35207 , b , -1200 , 0.142000
35257 , b , -1200 , 0.140667
35307 , b , -1200 , 0.142000
35357 , b , -1200 , 0.140000
35407 , b , -1200 , 0.140000
35457 , b , -1200 , 0.140000
35507 , b , -1200 , 0.144000
35557 , b , -1200 , 0.142667
35607 , b , -1200 , 0.140667
35657 , b , -1200 , 0.144667
35707 , b , -1200 , 0.141333
35757 , b , -1200 , 0.136667
35807 , b , -1200 , 0.142000
35857 , b , -1200 , 0.146667
35907 , b , -1200 , 0.139333
35957 , b , -1200 , 0.145333
36007 , b , -1200 , 0.142000
36057 , b , -1200 , 0.142000
36107 , b , -1200 , 0.143333
36157 , b , -1200 , 0.144667
36207 , b , -1200 , 0.142667
36257 , b , -1200 , 0.146000
36307 , b , -1200 , 0.141333
36357 , b , -1200 , 0.143333
36407 , b , -1200 , 0.142667
36457 , b , -1200 , 0.141333
36507 , b , -1200 , 0.140667
36557 , b , -1200 , 0.143333
36607 , b , -1200 , 0.138000
36657 , b , -1200 , 0.141333
36707 , b , -1200 , 0.144667
36757 , b , -1200 , 0.144000
36807 , b , -1200 , 0.144667
36857 , b , -1200 , 0.143333
36907 , b , -1200 , 0.144000
36957 , b , -1200 , 0.143333
37007 , b , -1200 , 0.140667
37057 , b , -1200 , 0.141333
37107 , b , -1200 , 0.144667
37157 , b , -1200 , 0.142667
37207 , b , -1200 , 0.141333
37936 , b , -1600 , 0.394000
37986 , b , -1600 , 0.396000
38036 , b , -1600 , 0.394000
38086 , b , -1600 , 0.396666
38136 , b , -1600 , 0.393333
38186 , b , -1600 , 0.393333
38236 , b , -1600 , 0.395333
38286 , b , -1600 , 0.394000
38336 , b , -1600 , 0.394667
38386 , b , -1600 , 0.395333
38436 , b , -1600 , 0.393333
38486 , b , -1600 , 0.391333
38536 , b , -1600 , 0.395333
38586 , b , -1600 , 0.393333
38636 , b , -1600 , 0.392667
38686 , b , -1600 , 0.393333
38736 , b , -1600 , 0.393333
38786 , b , -1600 , 0.394667
38836 , b , -1600 , 0.393333
38886 , b , -1600 , 0.394000
38936 , b , -1600 , 0.394000
38986 , b , -1600 , 0.397333
39036 , b , -1600 , 0.396666
39086 , b , -1600 , 0.396666
39136 , b , -1600 , 0.392000
39186 , b , -1600 , 0.395333
39236 , b , -1600 , 0.395333
39286 , b , -1600 , 0.394667
39336 , b , -1600 , 0.394667
39386 , b , -1600 , 0.396666
39436 , b , -1600 , 0.394667
39486 , b , -1600 , 0.393333
39536 , b , -1600 , 0.394667
39586 , b , -1600 , 0.395333
39636 , b , -1600 , 0.394000
39686 , b , -1600 , 0.394667
39736 , b , -1600 , 0.392667
39786 , b , -1600 , 0.397333
39836 , b , -1600 , 0.396000
39886 , b , -1600 , 0.396000
39936 , b , -1600 , 0.394667
40665 , b , -2000 , 0.716000
40715 , b , -2000 , 0.712000
40765 , b , -2000 , 0.719334
40815 , b , -2000 , 0.722000
40865 , b , -2000 , 0.723334
40915 , b , -2000 , 0.726000
40965 , b , -2000 , 0.724667
41015 , b , -2000 , 0.724667
41065 , b , -2000 , 0.722000
41115 , b , -2000 , 0.726667
41165 , b , -2000 , 0.722000
41215 , b , -2000 , 0.723334
41265 , b , -2000 , 0.725334
41315 , b , -2000 , 0.725334
41365 , b , -2000 , 0.720000
41415 , b , -2000 , 0.724000
41465 , b , -2000 , 0.722667
41515 , b , -2000 , 0.725334
41565 , b , -2000 , 0.725334
41615 , b , -2000 , 0.729334
41665 , b , -2000 , 0.728667
41715 , b , -2000 , 0.725334
41765 , b , -2000 , 0.728667
41815 , b , -2000 , 0.726667
41865 , b , -2000 , 0.726667
41915 , b , -2000 , 0.724000
41965 , b , -2000 , 0.724667
42015 , b , -2000 , 0.726000
42065 , b , -2000 , 0.723334
42115 , b , -2000 , 0.728667
42165 , b , -2000 , 0.726667
42215 , b , -2000 , 0.726667
42265 , b , -2000 , 0.726667
42315 , b , -2000 , 0.726000
42365 , b , -2000 , 0.728000
42415 , b , -2000 , 0.729334
42465 , b , -2000 , 0.725334
42515 , b , -2000 , 0.726667
42565 , b , -2000 , 0.724000
42615 , b , -2000 , 0.727334
42665 , b , -2000 , 0.727334
43394 , b , -2400 , 0.958667
43444 , b , -2400 , 0.966000
43494 , b , -2400 , 0.967334
43544 , b , -2400 , 0.964000
43594 , b , -2400 , 0.965334
43644 , b , -2400 , 0.969334
43694 , b , -2400 , 0.967334
43744 , b , -2400 , 0.966000
43794 , b , -2400 , 0.976667
43844 , b , -2400 , 0.968667
43894 , b , -2400 , 0.970000
43944 , b , -2400 , 0.967334
43994 , b , -2400 , 0.966667
44044 , b , -2400 , 0.966667
44094 , b , -2400 , 0.972667
44144 , b , -2400 , 0.969334
44194 , b , -2400 , 0.967334
44244 , b , -2400 , 0.966000
44294 , b , -2400 , 0.960667
44344 , b , -2400 , 0.968000
44394 , b , -2400 , 0.966667
44444 , b , -2400 , 0.971333
44494 , b , -2400 , 0.966667
44544 , b , -2400 , 0.969334
44594 , b , -2400 , 0.970667
44644 , b , -2400 , 0.968000
44694 , b , -2400 , 0.966667
44744 , b , -2400 , 0.967334
44794 , b , -2400 , 0.968000
44844 , b , -2400 , 0.966667
44894 , b , -2400 , 0.968000
44944 , b , -2400 , 0.968667
44994 , b , -2400 , 0.983333
45044 , b , -2400 , 0.966667
45094 , b , -2400 , 0.976667
45144 , b , -2400 , 0.968000
45194 , b , -2400 , 0.970667
45244 , b , -2400 , 0.972000
45294 , b , -2400 , 0.965333
45344 , b , -2400 , 0.965334
45394 , b , -2400 , 0.970667
46123 , b , -2800 , 1.263333
46173 , b , -2800 , 1.271333
46223 , b , -2800 , 1.260000
46273 , b , -2800 , 1.223334
46323 , b , -2800 , 1.234000
46373 , b , -2800 , 1.211334
