header,,,,,,,
data_begin,,,,,,,
time_ms,desired_flowrate,avgd_flowrate,error,kp,control_effort,current_pos,new_goal_pos
5120,2.5,0,2.5,350,-874,0,-874
7477,2.5,1.96,0.54,350,-188,-874,-1062
8535,2.5,2.5,0,350,0,-1062,-1062
8587,2.5,2.5,0,350,0,-1062,-1062
8638,2.5,2.5,0,350,0,-1062,-1062
8689,2.5,2.5,0,350,1,-1062,-1061
8748,2.5,2.51,-0.01,350,1,-1061,-1060
8807,2.5,2.5,0,350,1,-1060,-1059
8866,2.5,2.5,0,350,0,-1059,-1059
8925,2.5,2.5,0,350,0,-1059,-1059
8984,2.5,2.5,0,350,0,-1059,-1059
9043,2.5,2.5,0,350,0,-1059,-1059
9103,2.5,2.5,0,350,0,-1059,-1059
9162,2.5,2.5,0,350,1,-1059,-1058
9222,2.5,2.5,0,350,0,-1058,-1058
9281,2.5,2.5,0,350,0,-1058,-1058
9340,2.5,2.5,0,350,0,-1058,-1058
9399,2.5,2.5,0,350,0,-1058,-1058
9458,2.5,2.5,0,350,0,-1058,-1058
9518,2.5,2.5,0,350,0,-1058,-1058
