parallel_all_run_1_mfm
pres,tempc,vlow,mflow,setpoint,comp
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0002,0.0002,0,Air
14.04,25.26,0.0002,0.0002,0,Air
14.04,25.26,0.0002,0.0002,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,-0.0002,-0.0002,0,Air
14.04,25.26,-0.0002,-0.0002,0,Air
14.04,25.26,-0.0002,-0.0002,0,Air
14.04,25.26,-0.0002,-0.0002,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,-0.0002,-0.0002,0,Air
14.04,25.26,-0.0002,-0.0002,0,Air
14.04,25.26,-0.0001,-0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0002,0.0002,0,Air
14.04,25.26,0.0004,0.0004,0,Air
14.04,25.26,0.0003,0.0003,0,Air
14.04,25.26,0.0003,0.0003,0,Air
14.04,25.26,0.0002,0.0002,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0001,0.0001,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
14.04,25.26,0.0000,0.0000,0,Air
