time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
1.14,831,787,44,43,255,0.0
29.51,831,783,48,41,254,0.0
42.48,835,786,49,42,254,0.0
54.74,833,787,46,42,255,0.0
66.85,836,787,49,42,255,0.0
79.74,833,787,46,42,254,0.0
92.02,830,779,51,42,255,0.0
105.48,836,787,49,42,256,0.0
117.98,832,784,48,42,254,0.0
132.2,835,786,49,43,255,0.0
145.28,833,783,50,42,253,0.0
158.32,832,784,48,42,254,0.0
171.7,836,786,50,43,254,0.0
183.98,840,784,56,42,255,0.0
196.33,834,787,47,42,254,0.0
208.59,836,787,49,41,255,0.0
220.65,830,783,47,42,254,0.0
233.92,835,787,48,42,254,0.0
246.16,831,782,49,42,254,0.0
258.62,835,786,49,43,255,0.0
270.97,837,788,49,42,255,0.0
283.6,834,784,50,42,254,0.0
296.77,837,787,50,42,255,0.0
309.51,832,785,47,42,256,0.0
322.38,833,783,50,42,254,0.0
336.11,835,787,48,42,255,0.0
348.9,833,785,48,42,255,0.0
362.33,831,792,39,42,255,0.0
375.02,832,783,49,42,254,0.0
388.17,836,786,50,42,255,0.0
400.72,833,784,49,43,255,0.0
413.19,835,783,52,41,254,0.0
426.73,836,786,50,41,254,0.0
439.23,831,784,47,42,254,0.0
453.18,837,788,49,43,255,-0.0333
465.66,832,784,48,42,254,0.0
478.26,837,787,50,42,255,0.0
491.14,836,787,49,42,255,0.0
503.37,832,783,49,42,254,0.0
516.52,835,787,48,42,255,0.0
529.0,832,784,48,42,254,0.0
541.77,836,786,50,42,255,0.0
554.2,831,784,47,42,253,0.0
566.59,833,783,50,42,253,0.0
579.63,837,783,54,42,256,0.0
592.11,832,782,50,43,253,0.0
605.34,832,784,48,42,253,0.0
618.28,833,784,49,42,254,0.0
630.85,833,784,49,43,254,0.0
644.29,834,787,47,42,255,0.0
656.75,832,784,48,42,254,0.0
670.45,835,787,48,42,255,0.0
682.91,834,785,49,43,253,0.0
695.4,836,787,49,42,255,0.0
708.16,833,787,46,42,255,0.0
720.5,832,784,48,42,254,0.0
733.78,837,788,49,43,256,0.0
746.2,832,784,48,42,254,0.0
758.83,831,788,43,41,254,0.0
771.32,836,786,50,43,255,0.0
783.68,833,784,49,42,254,0.0
796.47,836,788,48,42,255,0.0
809.03,834,784,50,42,254,0.0
821.9,834,787,47,42,255,0.0
834.67,832,785,47,42,253,0.0
847.2,832,784,48,42,255,0.0
860.65,836,787,49,42,255,0.0
873.11,834,784,50,42,254,0.0
886.43,837,787,50,41,255,0.0
898.97,833,783,50,42,254,0.0
911.59,832,783,49,42,254,-0.0333
924.73,834,788,46,42,255,0.0
937.05,832,783,49,41,255,0.0
950.35,836,789,47,43,255,0.0
962.86,833,783,50,41,254,0.0
975.61,831,787,44,42,255,0.0
988.08,835,788,47,41,255,0.0
1000.51,832,784,48,43,254,0.0
1013.31,837,787,50,42,255,0.0
1025.76,829,782,47,42,253,0.0
1038.56,836,788,48,42,255,0.0
1050.99,834,785,49,42,254,0.0
1063.35,834,783,51,42,254,0.0
1076.32,833,787,46,42,255,0.0
1088.84,834,782,52,42,254,0.0
1101.97,835,787,48,42,255,0.0
1114.39,832,784,48,42,254,0.0
1126.87,830,783,47,42,254,0.0
1140.48,837,786,51,42,255,0.0
1152.95,833,784,49,42,254,0.0
1168.46,835,787,48,43,254,0.0
1180.92,831,784,47,43,255,0.0
1193.58,836,786,50,42,255,0.0
1206.13,834,783,51,42,254,0.0
1219.24,832,784,48,42,254,0.0
1232.56,835,787,48,43,255,0.0
1245.02,829,784,45,42,252,0.0
1257.91,835,787,48,42,255,0.0
1270.36,833,785,48,42,253,0.0
1282.92,832,783,49,42,254,0.0
1296.3,836,786,50,41,255,0.0
1308.86,833,784,49,42,254,0.0
1322.5,833,787,46,43,255,0.0
1335.25,833,780,53,41,255,0.0
1347.88,831,783,48,43,255,0.0
1361.1,836,786,50,42,255,0.0
1373.57,832,783,49,42,253,-0.0333
1387.06,836,784,52,42,254,0.0
1399.63,832,784,48,42,254,0.0
1412.24,835,787,48,41,255,0.0
1424.83,836,784,52,42,256,0.0
1437.17,833,784,49,42,254,0.0
1450.25,836,787,49,42,255,0.0
1462.74,831,784,47,41,254,0.0
1475.4,835,787,48,41,255,0.0
1488.15,834,787,47,42,254,0.0
1501.1,833,784,49,43,254,0.0
1514.42,840,788,52,43,253,0.0
1526.92,832,783,49,43,253,0.0
1540.53,835,787,48,43,254,0.0
1552.97,833,784,49,42,254,0.0
1565.65,832,784,48,43,254,0.0
1579.21,835,786,49,41,254,0.0
1591.77,832,784,48,42,254,0.0
1605.62,831,791,40,42,254,0.0
1618.16,833,784,49,42,254,0.0
1630.92,836,786,50,42,255,0.0
1643.56,835,787,48,43,254,0.0
1656.31,832,784,48,42,254,0.0
1669.24,835,788,47,42,254,0.0
1681.84,831,785,46,42,254,0.0
1695.04,835,792,43,43,256,0.0
1707.55,834,784,50,41,254,0.0
1720.13,833,783,50,41,254,0.0
1733.71,837,787,50,42,255,0.0
1746.23,832,783,49,43,254,0.0
1759.88,835,787,48,42,255,0.0
1772.71,833,784,49,44,255,0.0
1785.35,827,784,43,42,254,0.0
1798.49,837,786,51,42,255,0.0
1810.92,832,783,49,43,254,0.0
1824.24,836,787,49,41,255,0.0
1837.15,835,787,48,41,255,0.0
1850.03,834,788,46,42,255,0.0
1863.07,837,786,51,43,255,0.0
1875.63,832,784,48,42,254,0.0
1889.08,838,786,52,43,255,0.0
1901.65,836,787,49,43,255,0.0
1914.33,836,786,50,43,256,0.0
1927.25,833,784,49,41,254,0.0
1939.98,831,783,48,42,254,0.0
1952.76,835,786,49,43,255,0.0
1965.33,832,784,48,40,253,0.0
1978.78,835,788,47,43,254,0.0
1991.25,831,783,48,43,253,0.0
2003.71,831,783,48,42,254,0.0
2017.24,836,786,50,41,255,0.0
2029.62,831,783,48,42,254,0.0
2043.01,834,785,49,42,254,0.0
2055.66,826,784,42,43,255,0.0
2068.19,835,786,49,41,255,0.0
2080.58,836,786,50,42,255,0.0
2092.79,832,783,49,42,254,0.0
2106.52,835,787,48,42,255,0.0
2119.08,834,784,50,42,254,0.0
2131.86,835,788,47,42,255,0.0
2144.44,835,788,47,42,256,0.0
2157.15,832,784,48,41,254,0.0
2170.12,831,782,49,43,251,0.0
2183.51,832,784,48,42,253,0.0
2196.59,835,786,49,42,255,0.0
2209.21,831,784,47,42,254,0.0
2221.78,831,784,47,42,254,0.0
2235.41,835,788,47,42,255,0.0
2247.92,831,783,48,41,254,-0.0333
2261.68,834,787,47,43,255,0.0
2274.41,832,783,49,42,254,0.0
2286.95,832,787,45,43,255,0.0
2301.8,832,783,49,42,254,0.0
2314.38,830,784,46,42,254,0.0
2327.48,835,787,48,42,255,0.0
2340.04,831,781,50,42,253,0.0
2352.96,834,787,47,42,254,0.0
2365.4,832,784,48,41,254,0.0
2377.89,832,783,49,42,255,0.0
2391.53,835,786,49,42,255,0.0
2403.98,832,783,49,42,253,0.0
2417.29,831,783,48,42,253,0.0
2431.34,831,783,48,43,253,0.0
2443.92,833,783,50,42,255,0.0
2456.85,836,787,49,43,255,0.0
2469.2,831,779,52,42,254,-0.0333
2482.15,836,786,50,42,255,0.0
2494.59,831,784,47,42,254,0.0
2507.29,835,786,49,41,255,0.0
2519.9,834,786,48,42,255,0.0
2532.28,832,783,49,42,253,0.0
2545.29,836,785,51,42,255,0.0
2557.73,833,781,52,42,254,0.0
2570.47,834,787,47,42,255,0.0
2582.9,832,784,48,42,254,0.0
2595.23,829,783,46,41,254,0.0
2608.13,835,785,50,42,255,0.0
2620.66,831,783,48,41,253,0.0
2633.75,836,786,50,42,255,0.0333
2646.16,833,784,49,42,253,0.0
2658.65,832,781,51,43,253,0.0
2672.44,836,785,51,43,254,0.0
2685.02,831,781,50,42,253,0.0
2698.47,835,787,48,42,255,0.0
2710.93,831,783,48,42,253,0.0
2723.47,836,787,49,41,255,0.0
2736.23,835,787,48,42,255,0.0
2748.58,829,782,47,42,254,0.0
2762.05,834,787,47,42,255,0.0
2774.5,833,783,50,42,255,0.0
2787.14,836,787,49,42,255,0.0
2799.76,835,785,50,42,255,0.0
2812.15,831,783,48,42,254,0.0
2825.15,835,785,50,43,255,0.0
2837.61,832,781,51,42,254,0.0
2850.31,835,786,49,43,255,0.0
2862.73,829,781,48,42,253,-0.0333
2875.58,831,783,48,42,254,0.0
2888.43,831,787,44,42,255,0.0
2900.92,829,782,47,42,254,0.0
2913.81,833,787,46,42,255,-0.0333
2926.23,831,784,47,42,254,0.0
2938.79,831,783,48,41,254,0.0
2952.28,835,786,49,42,255,0.0
2964.74,833,784,49,43,254,0.0
2977.99,834,785,49,42,255,0.0
2990.52,832,783,49,41,252,0.0
3003.17,831,782,49,42,254,0.0
3016.38,835,787,48,41,255,-0.0333
3029.06,832,782,50,43,254,0.0
3042.58,835,784,51,42,254,0.0
3055.1,833,784,49,43,254,0.0
3067.74,836,785,51,41,255,0.0
3080.24,835,782,53,43,255,0.0
3092.61,829,781,48,43,254,0.0
3105.63,834,784,50,41,255,0.0
3117.9,831,782,49,42,254,0.0
3130.29,832,786,46,42,255,0.0
3142.51,835,787,48,42,255,0.0
3154.56,830,782,48,41,253,0.0
3167.34,835,785,50,42,255,0.0
3179.64,832,783,49,42,253,0.0
3192.09,834,787,47,42,255,0.0
3204.43,833,786,47,42,255,0.0
3216.82,831,783,48,41,254,0.0
3229.89,836,786,50,43,255,0.0
3242.33,840,783,57,42,254,0.0
3255.14,837,785,52,44,255,0.0
3267.56,831,784,47,42,253,0.0
3279.97,829,783,46,42,254,0.0
3292.73,836,785,51,41,255,0.0
3305.27,831,783,48,42,253,0.0
3317.93,835,787,48,42,254,0.0
3330.34,833,783,50,42,253,0.0
3342.71,829,782,47,42,253,0.0
3355.78,835,786,49,41,254,0.0
3368.25,832,777,55,42,253,0.0
3381.33,836,786,50,41,255,0.0
3393.75,831,783,48,41,254,0.0
3406.63,831,783,48,42,254,0.0
3419.76,836,785,51,41,254,0.0
3432.2,831,783,48,42,254,0.0333
3445.49,836,785,51,42,254,0.0
3457.94,833,780,53,42,254,0.0
3470.66,831,782,49,42,253,0.0
3483.82,835,786,49,43,255,-0.0333
3496.21,834,783,51,43,254,0.0
3509.77,836,784,52,42,254,0.0
3522.23,833,783,50,42,253,-0.0333
3534.88,834,787,47,41,254,0.0
3547.45,831,784,47,42,254,0.0
3560.28,832,783,49,42,254,0.0
3573.49,836,785,51,42,255,0.0
3585.95,833,781,52,42,254,0.0
3598.74,834,787,47,41,255,0.0
3611.22,826,777,49,42,252,0.0
3624.43,831,783,48,41,254,0.0
3637.81,835,785,50,41,255,0.0
