time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
0.98,828,783,45,41,254,0.0
13.1,823,779,44,42,253,0.0
25.12,827,783,44,40,254,0.0
37.02,824,779,45,41,253,-0.0333
49.13,828,783,45,40,254,0.0
61.05,826,780,46,41,253,0.0
73.82,829,783,46,42,254,0.0
85.67,827,783,44,42,254,0.0
97.49,824,780,44,42,253,0.0
110.0,827,783,44,41,254,0.0
122.04,824,780,44,40,251,0.0
134.37,828,784,44,41,254,0.0
146.26,828,783,45,42,255,0.0
158.18,824,780,44,42,253,0.0
171.51,827,784,43,41,254,0.0
183.37,825,779,46,40,252,0.0
195.34,828,784,44,42,254,0.0
207.24,823,779,44,42,253,0.0333
219.28,824,779,45,42,253,0.0
231.6,827,783,44,42,254,0.0
243.51,824,776,48,42,252,0.0
260.94,825,776,49,41,251,0.0
275.31,824,780,44,41,251,0.0
290.98,829,784,45,40,252,0.0
303.44,828,784,44,41,254,0.0
315.36,822,780,42,41,253,0.0
327.54,824,779,45,42,253,0.0
339.92,819,778,41,42,255,0.0
352.21,824,783,41,42,252,0.0
364.61,825,784,41,42,254,0.0
376.79,826,778,48,42,252,0.0
395.71,823,780,43,41,252,0.0
410.14,820,779,41,40,250,0.0
425.03,828,784,44,42,254,0.0
436.98,827,782,45,41,254,0.0
449.03,827,783,44,42,254,0.0
461.27,815,782,33,43,254,0.0
474.37,825,779,46,41,252,0.0
486.97,828,784,44,43,254,0.0
498.91,830,783,47,42,254,0.0
510.98,821,779,42,41,252,0.0
524.88,824,780,44,42,254,0.0
536.87,823,780,43,42,253,0.0
548.79,829,784,45,41,254,0.0
560.62,828,783,45,41,254,0.0
572.36,824,780,44,42,253,0.0
585.35,830,783,47,42,254,0.0
597.24,824,780,44,41,253,0.0
609.28,823,778,45,42,252,0.0
621.91,829,784,45,40,254,0.0
633.77,822,779,43,41,252,0.0
645.78,826,783,43,41,254,0.0
657.79,829,784,45,41,254,0.0
669.71,823,780,43,42,253,-0.0333
682.72,829,784,45,42,254,0.0
694.55,823,780,43,42,254,0.0
706.47,828,784,44,42,254,0.0
718.71,828,785,43,42,254,-0.0333
730.4,824,779,45,42,253,0.0
743.05,827,782,45,42,253,0.0
755.08,824,780,44,41,253,0.0
767.23,818,776,42,42,250,0.0
779.77,829,784,45,42,254,0.0
791.56,824,779,45,42,252,0.0
804.42,831,784,47,42,254,0.0
816.36,825,784,41,41,254,0.0
828.26,825,778,47,42,253,0.0
841.15,827,784,43,41,254,0.0
853.03,823,779,44,42,252,-0.0333
865.63,826,783,43,42,255,0.0
877.52,827,784,43,42,254,0.0
889.37,825,781,44,42,252,0.0
902.24,828,783,45,41,254,0.0
914.14,825,780,45,41,252,0.0
926.2,828,781,47,42,252,0.0
938.16,824,780,44,42,252,0.0
951.74,824,779,45,42,253,0.0
964.62,828,780,48,41,255,0.0
976.48,824,778,46,42,253,0.0
989.03,834,786,48,41,254,0.0
1001.57,832,787,45,42,254,0.0
