time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
0.69,823,780,43,41,253,0.0
12.88,830,783,47,41,254,0.0
24.81,825,780,45,42,253,0.0
36.89,826,775,51,41,252,0.0
48.93,824,780,44,42,253,0.0
61.4,826,780,46,41,253,0.0
74.03,834,784,50,42,254,0.0
85.87,827,784,43,42,254,0.0
97.61,828,785,43,42,254,0.0
109.52,836,784,52,43,254,0.0
121.2,825,779,46,42,253,0.0
133.87,829,784,45,42,254,0.0
145.71,829,790,39,42,254,0.0
157.56,824,778,46,41,252,0.0
170.59,829,784,45,43,254,0.0
182.32,825,780,45,42,252,0.0
194.27,827,782,45,42,254,0.0
206.27,829,784,45,41,254,0.0
218.03,824,780,44,41,253,0.0
230.4,828,785,43,41,254,0.0
242.25,828,782,46,41,253,0.0
254.03,830,785,45,42,254,0.0
265.85,831,784,47,41,254,-0.0333
277.57,826,779,47,42,252,0.0
289.59,832,783,49,42,255,0.0
306.23,831,782,49,41,254,0.0
318.75,835,783,52,44,254,0.0
331.46,835,785,50,42,254,0.0
343.81,834,785,49,42,255,0.0
356.35,834,784,50,42,254,0.0
368.86,830,782,48,43,253,0.0
381.32,825,782,43,42,254,0.0
393.87,829,784,45,41,255,0.0
405.82,828,783,45,43,254,0.0
417.94,828,785,43,42,255,0.0
429.78,829,784,45,42,253,0.0
441.54,828,783,45,42,254,0.0
453.77,829,784,45,41,254,0.0
465.59,830,783,47,43,254,0.0
477.69,827,785,42,42,254,0.0333
489.53,830,783,47,42,254,0.0
501.25,829,784,45,41,254,0.0
513.38,829,784,45,42,254,0.0
525.24,824,779,45,41,253,0.0
537.14,828,785,43,42,254,0.0
548.96,830,784,46,41,254,0.0333
560.7,828,783,45,42,254,0.0
572.78,829,782,47,43,254,0.0
584.71,829,784,45,41,252,0.0
596.44,829,782,47,43,254,0.0
608.66,828,784,44,43,254,0.0
620.54,825,778,47,41,252,0.0
632.93,829,780,49,42,254,0.0
644.87,831,784,47,42,254,0.0
656.62,824,780,44,43,253,0.0
669.62,827,785,42,42,254,0.0
681.5,829,784,45,40,254,0.0
693.46,828,784,44,41,254,0.0
705.37,829,784,45,42,255,0.0
717.16,825,779,46,42,253,0.0
729.31,830,784,46,41,255,0.0
741.15,824,780,44,42,253,0.0
753.12,829,785,44,42,255,0.0
765.01,830,782,48,42,254,0.0
776.75,824,781,43,42,253,0.0
789.76,827,785,42,42,254,0.0
801.57,826,780,46,41,253,0.0
813.43,826,784,42,41,254,0.0
825.82,828,784,44,42,254,0.0
837.53,823,778,45,41,252,0.0
850.4,830,785,45,41,255,0.0
862.23,829,784,45,41,253,0.0
874.16,824,779,45,41,252,0.0
886.64,828,781,47,42,254,0.0
898.35,825,780,45,41,253,0.0
910.89,831,785,46,42,254,0.0
922.71,830,784,46,42,254,0.0
934.4,825,779,46,42,252,0.0
947.22,829,784,45,41,255,0.0
959.15,826,780,46,41,252,0.0
974.69,831,780,51,41,252,0.0
986.76,825,780,45,42,253,0.0
998.8,831,784,47,42,254,0.0
1011.09,827,783,44,41,254,0.0
1022.79,825,781,44,42,253,0.0
1035.63,830,785,45,42,254,0.0
1047.46,829,782,47,42,253,0.0
1059.27,825,779,46,42,252,0.0
1071.98,828,785,43,42,254,0.0
1083.73,824,779,45,41,253,0.0
1096.18,838,787,51,42,255,0.0
1108.84,838,786,52,43,255,-0.0333
1121.38,833,782,51,43,254,0.0
1135.09,839,786,53,41,256,0.0
1147.77,833,783,50,41,254,0.0
1160.86,837,787,50,43,254,0.0
1173.55,833,784,49,42,254,0.0
1186.35,831,781,50,41,253,0.0
1200.35,837,786,51,41,255,0.0
1212.91,833,783,50,42,254,0.0
1226.4,836,785,51,42,255,0.0
1238.87,832,782,50,42,254,0.0
1251.53,834,784,50,42,254,0.0
1265.41,833,783,50,43,253,0.0
1278.08,831,782,49,42,252,0.0
1291.46,834,786,48,42,254,0.0
1303.92,833,783,50,42,254,0.0
1318.21,834,786,48,42,254,0.0
1330.67,832,783,49,42,253,0.0
1343.26,837,785,52,43,255,0.0
1356.22,836,787,49,42,255,0.0
1368.64,835,783,52,42,256,0.0
1381.53,836,786,50,43,254,0.0
1394.07,835,782,53,41,254,0.0
1406.79,837,785,52,42,255,0.0
1419.21,834,784,50,42,254,0.0
1431.55,831,783,48,43,254,0.0
1444.43,836,783,53,41,253,0.0
1456.94,832,782,50,42,253,0.0
1469.81,835,787,48,43,255,-0.0333
1482.22,831,782,49,42,253,0.0
1494.75,831,776,55,43,253,0.0
1508.0,835,785,50,42,254,0.0
1520.45,831,784,47,43,254,0.0
1534.65,836,785,51,42,255,0.0
1547.14,831,780,51,42,253,0.0
1560.09,829,782,47,42,254,0.0
1573.68,834,785,49,43,254,0.0
1586.29,834,783,51,42,253,0.0
1599.25,829,784,45,41,254,0.0
1611.14,826,779,47,43,253,-0.0333
1623.54,828,785,43,42,255,0.0
1635.41,829,784,45,41,255,0.0
1647.09,825,778,47,42,252,0.0
1660.88,826,784,42,41,254,0.0
1673.11,824,778,46,42,252,0.0
1685.4,830,784,46,42,253,0.0
1697.22,831,783,48,42,254,0.0
1708.98,825,779,46,42,253,0.0
1721.35,829,784,45,42,254,0.0
1733.48,826,780,46,41,253,0.0
1745.53,829,785,44,43,254,0.0
1757.38,830,782,48,42,254,0.0
1769.22,822,779,43,41,253,0.0
1781.4,829,784,45,41,254,0.0
1793.25,825,780,45,42,253,0.0
1805.24,828,785,43,42,254,0.0
1817.5,829,784,45,42,254,0.0
1829.21,826,781,45,43,253,0.0
1842.21,828,784,44,42,254,0.0
1854.0,825,780,45,41,253,0.0
1866.07,825,778,47,43,253,0.0
1878.45,830,784,46,42,253,0.0
1890.21,826,778,48,43,253,0.0
1902.91,828,784,44,41,255,0.0
1914.77,829,784,45,41,253,0.0
1926.62,825,778,47,42,252,0.0
1939.45,828,785,43,42,254,0.0
1951.24,826,779,47,42,253,0.0
1963.62,818,783,35,42,254,0.0
1975.66,828,785,43,41,254,0.0
1987.52,825,781,44,41,253,0.0
2001.01,829,782,47,43,253,0.0
2012.93,826,780,46,41,253,0.0
2025.05,829,784,45,41,254,0.0
2036.92,830,785,45,41,255,0.0
2048.6,825,779,46,42,253,0.0
2060.79,830,785,45,41,255,0.0
2072.66,825,779,46,41,253,-0.0333
2084.81,829,783,46,41,254,0.0
2096.69,830,784,46,42,254,0.0
2108.5,826,781,45,43,253,0.0
2121.51,829,783,46,41,254,0.0
2133.66,826,781,45,41,252,0.0
2145.67,822,780,42,41,253,0.0
2158.0,828,785,43,42,254,0.0
2169.93,826,780,46,42,253,0.0
2183.45,829,784,45,41,254,0.0
2195.39,829,780,49,41,253,0.0
2207.32,824,779,45,42,252,0.0
2219.84,828,783,45,41,254,0.0
2231.59,826,780,46,42,252,0.0
2244.26,829,785,44,42,254,0.0
2256.16,829,785,44,42,254,0.0
2267.95,825,780,45,41,253,0.0
2280.75,829,784,45,42,254,0.0
2292.66,825,778,47,42,253,0.0
2304.76,839,786,53,42,253,0.0
2317.59,836,786,50,42,255,0.0
2329.94,833,783,50,43,254,0.0
2344.13,837,784,53,43,255,0.0
2356.83,832,783,49,42,253,0.0
2369.59,836,787,49,42,255,0.0
2382.07,831,784,47,42,254,0.0
2394.47,834,786,48,44,254,0.0
2407.09,835,786,49,42,254,0.0
2419.4,836,785,51,42,255,0.0
2431.9,832,786,46,44,254,0.0
2444.22,830,780,50,42,254,0.0
2456.43,834,785,49,43,254,0.0
2468.89,836,785,51,42,255,0.0
2481.2,834,785,49,42,254,0.0
2493.72,834,784,50,42,255,0.0
2505.98,832,783,49,42,254,0.0
2518.41,836,785,51,42,254,0.0
2531.07,836,785,51,42,255,0.0
2543.56,832,783,49,43,254,0.0
2556.28,835,786,49,42,255,0.0
2568.78,832,783,49,42,254,0.0
2581.13,835,785,50,42,254,0.0
2593.81,836,780,56,42,255,0.0
2606.29,832,783,49,43,255,0.0
2618.77,834,786,48,42,255,0.0
2631.03,832,782,50,42,253,0.0
2643.23,832,785,47,42,255,0.0
2655.73,834,784,50,42,255,0.0
2668.02,835,785,50,42,254,0.0
2680.52,835,785,50,42,255,0.0
2692.79,830,783,47,42,254,0.0
2704.96,834,785,49,42,254,0.0
2717.41,835,785,50,42,254,0.0
2729.74,835,785,50,42,254,0.0
2742.27,834,784,50,40,255,0.0
2754.75,831,782,49,41,253,0.0
2767.21,834,785,49,42,253,0.0
2779.7,834,785,49,41,255,0.0
2791.98,835,785,50,42,255,0.0
2804.55,826,784,42,42,254,0.0
2816.6,830,784,46,43,255,0.0333
2828.3,829,783,46,42,253,0.0
2840.53,829,784,45,42,254,0.0
2852.4,823,781,42,41,253,0.0
2864.48,830,780,50,40,256,0.0
2876.33,830,784,46,42,254,0.0
2888.06,826,784,42,42,254,0.0
2900.24,830,786,44,41,255,0.0
2912.1,824,780,44,41,253,0.0
2924.18,828,785,43,41,254,0.0
2936.27,829,783,46,42,252,0.0
2948.04,825,782,43,41,253,0.0
2961.05,831,784,47,41,254,0.0
2972.9,822,779,43,42,253,0.0
2989.11,824,784,40,41,254,0.0
3000.97,829,784,45,43,254,0.0
3012.68,825,779,46,42,252,0.0
3025.5,836,784,52,42,255,0.0
3037.39,828,784,44,41,254,0.0
3049.34,824,783,41,41,254,0.0
3061.54,832,784,48,42,254,0.0
3073.42,825,780,45,42,253,0.0
3085.64,828,785,43,41,254,0.0
3097.48,827,780,47,42,253,0.0
3109.53,829,784,45,41,254,0.0
3121.48,829,784,45,42,254,0.0
3133.15,826,775,51,42,253,0.0
3145.76,828,785,43,41,255,0.0333
3157.65,831,783,48,41,252,0.0333
3169.5,826,774,52,41,252,0.0
3182.06,830,784,46,42,254,0.0
3193.85,825,779,46,41,252,0.0
3206.27,829,784,45,41,255,0.0
3218.14,829,784,45,41,254,0.0
3229.82,825,780,45,41,252,0.0
3242.65,827,784,43,42,254,0.0
3254.56,823,777,46,41,253,0.0
3266.6,830,784,46,41,254,0.0
3278.75,830,786,44,41,254,0.0
3290.83,822,776,46,41,252,0.0
3303.62,826,780,46,42,253,0.0
3315.7,819,774,45,43,250,0.0
3328.11,826,780,46,42,253,0.0
3340.04,825,780,45,41,253,0.0
3351.95,825,780,45,42,253,0.0
3364.92,826,780,46,42,253,0.0
3377.73,823,779,44,42,252,0.0
3389.68,829,784,45,42,255,0.0
3401.57,829,783,46,41,254,0.0
3413.3,826,779,47,42,253,0.0
3426.41,829,784,45,42,254,0.0
3438.29,825,780,45,42,253,0.0
3450.24,826,782,44,41,254,0.0
3462.61,830,783,47,42,254,0.0
3474.38,825,780,45,43,255,0.0
3487.04,830,785,45,41,255,0.0
3498.87,830,783,47,42,254,-0.0333
3510.64,832,784,48,41,254,0.0
3524.41,837,786,51,42,255,0.0
3537.1,834,783,51,43,254,0.0
3550.34,836,785,51,43,255,0.0
3563.08,834,784,50,43,254,0.0
3575.93,835,783,52,42,254,0.0
3589.73,837,786,51,43,255,0.0
3602.58,834,784,50,43,253,0.0
3616.46,836,785,51,42,255,0.0
3628.98,831,783,48,42,254,0.0
3641.73,837,786,51,41,255,0.0
3654.45,835,785,50,42,253,0.0
3666.83,833,783,50,42,253,-0.0333
3679.8,835,786,49,42,255,0.0
3692.32,832,788,44,42,254,0.0
3705.12,836,786,50,41,255,0.0
3717.64,833,784,49,42,254,0.0
3730.24,832,783,49,42,253,0.0333
3744.36,836,785,51,41,255,-0.5333
3757.34,833,783,50,42,254,-0.1
3770.98,835,784,51,42,254,-0.1
3783.56,833,783,50,42,253,0.1
3796.27,831,782,49,42,253,0.1333
3809.55,834,785,49,41,254,0.0667
3822.04,832,783,49,42,254,0.0333
3835.57,839,787,52,43,254,-0.0333
3848.1,831,781,50,42,253,-0.0333
3860.8,834,786,48,41,255,-0.0667
3873.65,835,786,49,42,255,-0.0333
3886.11,831,781,50,42,254,0.0
3899.06,837,786,51,42,255,0.0
3911.54,834,781,53,43,253,0.0
3924.38,836,786,50,41,254,0.0
3936.81,834,782,52,42,254,0.0
3949.17,833,783,50,43,253,-0.0333
3962.99,835,784,51,42,254,-0.0333
3975.5,832,782,50,41,253,0.0
3988.65,836,785,51,42,255,0.0
4001.12,833,783,50,41,254,-0.0333
4013.64,831,783,48,42,253,0.0
4027.19,836,786,50,42,255,0.0
4039.67,833,782,51,42,253,0.0
4053.24,835,787,48,42,254,0.0
4065.73,833,783,50,42,254,0.0
4078.27,830,781,49,42,254,0.0333
4091.28,835,785,50,42,255,0.0
4103.68,833,783,50,41,254,0.0
4116.75,837,786,51,42,255,0.0
4129.2,831,782,49,42,254,0.0
4141.93,832,785,47,42,253,0.0
4154.39,833,783,50,42,254,-0.0333
4166.76,832,782,50,42,254,0.0
4179.54,836,785,51,42,255,0.0
4191.98,833,783,50,42,254,0.0
4204.68,835,786,49,43,255,0.0
4217.15,833,783,50,42,254,0.0
4229.55,831,783,48,43,254,0.0
4242.31,836,784,52,43,254,0.0
4254.81,832,780,52,42,254,0.0
4267.91,843,785,58,42,256,0.0
4280.34,833,783,50,42,254,0.0
4292.85,830,782,48,42,253,0.0
4306.3,836,787,49,43,255,0.0
4318.75,833,783,50,42,253,0.0
4331.95,836,786,50,42,255,0.0
4344.45,834,783,51,41,254,-0.0333
4357.06,827,781,46,43,253,0.0
4370.48,834,787,47,42,255,0.0
4382.84,833,783,50,42,253,0.0
4396.2,833,786,47,42,254,0.0
4408.67,830,782,48,43,253,0.0
4425.53,834,786,48,42,254,0.0
4438.05,832,783,49,43,254,0.0
4450.89,832,781,51,42,253,0.0333
4464.15,836,785,51,42,255,0.0
4476.62,833,782,51,44,254,0.0
4490.02,836,785,51,42,255,0.0
4502.48,833,782,51,42,254,0.0
4515.14,837,784,53,42,255,0.0
4527.86,835,785,50,43,254,0.0
4540.31,831,782,49,42,254,0.0
4553.31,831,783,48,43,255,0.0
4566.09,832,780,52,43,253,0.0
4578.84,834,785,49,42,254,0.0
4591.29,839,784,55,43,252,0.0
4603.68,832,782,50,42,254,0.0
4617.23,837,783,54,41,255,0.0
4629.72,833,781,52,42,254,0.0
4642.87,837,784,53,42,255,0.0
4655.31,833,783,50,42,254,0.0
4668.04,832,782,50,42,253,0.0
4681.38,843,785,58,42,254,0.0
4693.88,830,781,49,42,253,0.0
4707.26,836,786,50,41,256,0.0
4719.71,835,784,51,43,254,0.0
4732.3,832,780,52,42,253,0.0
4745.6,836,785,51,42,254,0.0333
4758.02,833,782,51,41,254,0.0
4771.45,835,786,49,42,255,0.0
4784.28,832,783,49,42,254,0.0
4796.92,836,785,51,42,255,0.0
4809.64,835,786,49,42,255,-0.0333
4822.0,832,779,53,42,254,0.0
4834.98,836,784,52,41,255,0.0
4847.44,831,784,47,42,253,0.0
4860.24,837,785,52,41,255,0.0
4872.73,832,784,48,42,254,0.0
4885.14,833,783,50,43,254,0.0
4898.0,837,786,51,41,255,0.0
4910.48,832,781,51,42,253,0.0
4923.6,834,786,48,42,255,0.0
4936.08,834,782,52,42,254,0.0
4948.53,831,780,51,43,253,0.0
4961.73,836,785,51,41,255,0.0
4974.23,833,783,50,42,254,0.0
4987.53,837,785,52,42,256,0.0
5000.25,833,782,51,42,254,0.0
5012.89,832,781,51,42,253,0.0
5026.17,835,785,50,41,255,0.0
5038.59,831,783,48,42,254,0.0
5052.55,834,787,47,42,255,0.0
5065.11,834,783,51,42,254,0.0
5077.77,836,786,50,41,255,0.0
5093.31,832,780,52,41,253,0.0
5106.46,832,782,50,42,254,0.0
5120.22,835,786,49,42,254,0.0
5132.73,834,783,51,42,254,0.0
5146.25,836,784,52,42,254,0.0
5158.78,834,787,47,42,254,0.0
5171.47,835,785,50,42,255,0.0
5185.14,831,785,46,42,255,0.0
5197.69,833,782,51,42,254,0.0
5210.69,836,785,51,42,255,0.0
5223.2,833,784,49,43,254,0.0
5235.84,836,786,50,42,255,0.0
5248.77,836,785,51,41,254,0.0
5264.22,831,781,50,43,253,0.0333
5278.22,841,787,54,42,255,0.0
5290.76,833,782,51,42,253,0.0
5304.25,835,785,50,42,255,0.0
5316.68,833,783,50,42,254,0.0
5329.35,836,781,55,42,255,0.0
5342.06,836,787,49,42,254,0.0
5354.5,833,782,51,42,254,0.0
5367.35,835,785,50,42,254,0.0
5379.8,833,783,50,42,254,0.0
5392.43,835,785,50,42,255,0.0
5405.2,835,785,50,43,255,0.0
5417.57,832,782,50,41,253,0.0
5430.46,837,785,52,43,255,0.0
5442.91,832,783,49,42,254,0.0
5455.64,839,787,52,43,255,0.0
5468.07,833,783,50,41,254,0.0
5480.41,833,783,50,42,254,0.0333
5493.17,836,786,50,42,255,0.0333
5505.62,833,783,50,41,253,0.0
5518.3,835,786,49,42,254,0.0
5530.72,832,782,50,41,253,0.0
5543.08,832,782,50,42,254,0.0
5555.81,836,785,51,42,255,0.0
5568.27,833,782,51,42,253,0.0
5580.95,836,786,50,42,255,-0.0333
5593.41,831,782,49,42,254,0.0
5605.82,832,783,49,42,254,0.0
5618.72,837,786,51,42,255,0.0
5631.19,832,782,50,42,254,0.0
5644.39,837,786,51,42,255,0.0
5656.83,833,783,50,42,254,0.0
5669.36,832,783,49,41,254,0.0
5682.87,837,785,52,43,255,-0.0333
5695.39,832,782,50,42,254,0.0
5708.92,836,786,50,42,255,0.0
5721.36,832,783,49,42,253,0.0
5733.91,832,784,48,42,254,0.0
5746.98,835,786,49,42,254,0.0
5759.41,832,783,49,42,254,0.0
5772.43,833,783,50,42,254,0.0
5785.13,834,782,52,42,253,0.0
5797.81,829,785,44,42,253,0.0
5810.36,832,782,50,42,254,0.0
5822.82,831,783,48,42,253,0.0
5835.67,837,786,51,43,255,0.0
5848.1,834,783,51,41,254,0.0
5860.77,836,786,50,42,255,0.0
5873.27,831,783,48,41,254,0.0
5885.67,831,783,48,42,253,0.0
5898.44,836,786,50,42,254,-0.0333
5910.91,832,784,48,42,253,0.0
5923.61,837,792,45,41,255,0.0
5936.06,834,783,51,42,254,0.0
5948.36,831,782,49,42,254,0.0
5961.07,835,785,50,42,255,0.0
5973.52,831,783,48,42,253,0.0
5986.28,838,787,51,42,255,0.0
5998.68,832,783,49,42,253,0.0333
6011.05,832,782,50,42,254,0.0
6023.84,836,785,51,42,255,0.0
6036.3,835,783,52,41,253,0.0
6048.93,836,786,50,42,255,0.0
6061.37,830,784,46,42,254,0.0
6073.72,831,782,49,42,253,0.0
6086.51,838,783,55,42,256,-0.0333
6098.94,833,780,53,42,254,0.0
6111.73,837,786,51,42,255,0.0
6124.23,833,783,50,42,254,0.0
6136.61,831,783,48,42,254,0.0
6149.27,836,784,52,42,255,0.0
6161.73,833,780,53,42,254,0.0
6174.48,836,786,50,42,255,0.0
6186.9,832,783,49,41,254,0.0
6199.18,831,782,49,42,254,0.0
6211.91,843,785,58,42,255,0.0
6224.4,833,783,50,42,253,0.0
6237.11,835,785,50,43,255,0.0
6249.51,833,784,49,41,253,0.0
6261.87,831,780,51,42,254,0.0
6274.65,835,787,48,43,254,0.0333
6287.1,833,783,50,42,253,0.0
6299.81,836,784,52,43,255,0.0
6312.25,833,783,50,43,254,0.0
6324.62,832,782,50,42,253,0.0
6337.33,836,780,56,42,255,0.0
6349.75,833,784,49,42,253,0.0
6362.43,836,786,50,42,255,0.0
6374.9,833,783,50,42,254,0.0
6387.28,832,781,51,42,253,0.0
6399.96,836,784,52,43,255,0.0
6412.43,833,783,50,42,253,0.0
6425.19,836,785,51,42,255,0.0
6437.7,832,783,49,42,254,0.0
6450.04,832,783,49,42,253,0.0
6462.83,836,785,51,42,255,0.0
6475.56,832,781,51,42,254,0.0
6488.54,836,786,50,43,254,0.0
6500.98,833,783,50,43,254,0.0
6513.47,830,782,48,41,253,0.0
6526.92,837,786,51,42,255,0.0
6539.38,832,782,50,42,254,0.0
6552.67,831,785,46,42,256,0.0
6564.96,831,783,48,43,254,0.0
6577.39,833,781,52,42,253,0.0
6590.59,834,784,50,43,254,0.0
6603.09,830,780,50,42,253,0.0
6616.86,832,782,50,42,254,0.0
6629.73,828,780,48,42,252,0.0333
6643.15,831,782,49,42,252,0.0
6655.45,825,780,45,41,253,0.0
6667.31,826,779,47,42,253,0.0
6679.29,828,781,47,43,252,0.0
6692.43,824,777,47,42,252,0.0
6705.74,829,784,45,41,254,0.0
6717.56,830,784,46,41,254,0.0
6729.22,824,780,44,42,253,0.0
6742.11,828,785,43,42,254,0.0
6754.14,825,781,44,41,253,0.0
6766.09,829,784,45,43,254,0.0
6777.93,830,783,47,43,254,0.0
6789.64,825,780,45,42,253,0.0
6802.3,829,785,44,42,254,0.0
6814.18,824,780,44,42,253,0.0
6826.15,829,784,45,41,254,0.0
6838.02,829,784,45,42,254,0.0
6849.67,824,780,44,42,253,0.0
6862.49,829,784,45,43,254,0.0
6874.36,830,784,46,41,253,0.0
6886.17,824,778,46,42,252,0.0
6898.72,828,784,44,42,254,0.0
6910.46,825,779,46,42,253,0.0
6922.89,830,783,47,42,254,0.0
6934.75,827,781,46,41,252,0.0
6946.59,825,779,46,42,253,0.0
6959.4,830,784,46,42,254,0.0
6971.24,825,780,45,42,253,0.0333
6983.2,827,785,42,43,254,0.0
6995.04,829,784,45,42,253,0.0
7006.75,825,780,45,42,253,0.0333
7019.38,831,783,48,42,254,0.0
7031.19,825,780,45,42,253,0.0
7043.15,829,784,45,43,254,0.0
7055.35,830,783,47,41,255,0.0
7067.04,826,780,46,42,253,0.0
7079.96,830,784,46,43,253,0.0
7091.79,829,783,46,42,253,0.0
7103.58,824,778,46,42,253,0.0
7116.42,828,785,43,42,254,0.0
7128.19,825,778,47,42,252,0.0
7140.71,824,780,44,40,253,0.0
7152.73,830,783,47,42,254,0.0
7164.77,819,774,45,42,252,0.0
7177.66,830,783,47,42,253,0.0333
7189.48,825,780,45,41,252,0.0
7202.06,831,784,47,42,254,0.0
7213.89,830,784,46,42,254,0.0
7225.71,824,779,45,41,253,0.0
7238.5,829,784,45,41,255,0.0
7250.36,826,780,46,41,253,0.0
7262.34,831,784,47,42,254,0.0
7274.22,826,779,47,41,256,0.0
7286.01,824,780,44,42,253,0.0
7298.15,829,784,45,42,254,0.0
7309.97,830,776,54,41,253,0.0
7321.93,830,784,46,42,254,0.0
7333.78,829,784,45,41,254,0.0
7345.44,824,775,49,42,253,0.0
7358.2,828,783,45,42,254,0.0
7370.1,832,783,49,42,254,0.0
7382.44,832,783,49,42,254,0.0
7395.2,836,785,51,42,255,0.0
7407.7,831,782,49,40,254,0.0
7420.76,837,782,55,43,254,0.0
7433.18,831,783,48,43,253,0.0
7445.68,832,783,49,42,254,0.0
7460.09,836,786,50,42,254,0.0
7472.65,832,782,50,41,254,0.0
7486.13,836,787,49,43,255,0.0
7498.54,833,783,50,42,254,0.0
7511.05,835,785,50,42,254,0.0
7523.92,835,786,49,42,254,0.0
7536.29,832,782,50,41,254,0.0
7549.49,837,786,51,41,255,0.0
7562.01,841,783,58,42,252,0.0
7574.64,836,786,50,42,255,0.0
7587.16,835,785,50,42,255,0.0
7599.42,833,783,50,42,253,0.0
7612.26,836,786,50,43,253,0.0
7625.59,831,781,50,42,254,0.0
7638.35,834,785,49,42,254,0.0
7650.79,839,782,57,43,255,0.0
7663.19,831,783,48,42,254,0.0
7676.18,833,784,49,42,255,0.0
7688.64,832,783,49,42,254,0.0
7701.89,834,787,47,42,254,0.0
7714.4,833,783,50,42,253,0.0
7726.93,831,783,48,42,253,0.0
7740.34,836,786,50,41,255,0.0
7752.82,834,783,51,42,254,0.0
7766.4,836,786,50,42,255,0.0
7778.85,833,782,51,42,254,0.0
7791.47,836,784,52,42,254,-0.0333
7804.36,836,786,50,42,255,0.0
7816.71,832,783,49,42,253,0.0
7829.69,836,786,50,42,255,0.0333
7842.2,830,780,50,41,253,0.0
7855.2,834,783,51,41,253,0.0
7868.11,833,783,50,43,253,0.0
7880.67,832,782,50,42,254,0.0
7894.32,837,785,52,42,255,0.0
7906.82,831,783,48,42,253,0.0
7920.46,834,785,49,42,255,0.0
7932.88,831,782,49,42,254,0.0
7945.46,834,785,49,42,254,0.0
7958.27,834,787,47,41,254,-0.0333
7970.81,831,783,48,41,254,0.0
7983.7,835,785,50,42,254,0.0
7996.14,832,780,52,41,254,-0.0333
8008.89,835,784,51,42,255,0.0
8021.33,833,782,51,42,254,0.0
8033.66,831,782,49,42,254,0.0
8046.42,835,785,50,42,254,0.0
8058.88,833,781,52,41,254,0.0
8071.63,834,784,50,42,255,0.0
8084.22,831,783,48,42,254,0.0333
8096.63,831,783,48,43,253,0.0
8109.46,835,784,51,42,255,0.0
8121.93,832,783,49,41,253,0.0
8135.06,836,785,51,41,255,-0.0333
8147.54,833,781,52,42,254,0.0
8160.04,831,782,49,42,253,0.0
8173.45,831,784,47,42,253,0.0
8185.98,831,783,48,42,253,0.0
8199.14,834,786,48,43,255,0.0
8211.6,833,783,50,42,254,0.0
8224.2,831,782,49,43,253,0.0
8237.58,836,785,51,42,255,0.0
8250.01,832,783,49,42,254,0.0
8263.77,832,785,47,42,254,0.0
8276.24,832,783,49,42,254,-0.0333
8288.8,836,786,50,42,254,0.0
8301.65,835,783,52,42,254,0.0
8313.94,832,783,49,42,254,0.0
8327.33,838,784,54,42,255,0.0
8339.81,833,781,52,42,254,0.0
8352.51,836,786,50,43,255,0.0
8365.12,835,786,49,43,255,0.0
8377.56,828,783,45,42,254,0.0
8390.46,837,780,57,42,255,0.0
8402.91,830,783,47,42,254,0.0
8415.81,837,785,52,42,255,0.0
8428.29,833,783,50,42,254,0.0
8440.7,833,783,50,41,253,0.0
8453.87,834,784,50,41,254,0.0333
8466.41,833,782,51,42,254,0.0
8479.84,837,787,50,43,255,0.0
8492.33,832,783,49,43,254,0.0
8504.95,833,782,51,43,254,0.0
8518.52,837,786,51,42,255,0.0
8531.08,832,782,50,42,253,0.0
8544.56,836,785,51,41,254,0.0
8557.13,832,783,49,42,253,0.0
8569.81,839,776,63,42,253,0.0
8582.94,836,785,51,42,255,0.0
8595.42,832,783,49,43,254,0.0
8608.87,837,786,51,43,255,0.0
8621.38,833,781,52,41,253,0.0
8634.15,836,785,51,42,255,0.0
8646.71,834,786,48,43,255,0.0
8659.07,832,784,48,43,254,0.0
8672.33,837,785,52,42,255,0.0
8684.89,831,783,48,42,254,0.0
8697.78,836,786,50,41,256,0.0
8710.27,832,783,49,42,254,0.0
8722.72,833,783,50,42,254,0.0
8735.59,835,784,51,42,255,0.0
8748.08,832,783,49,41,254,0.0
8761.38,836,784,52,42,255,0.0
8773.9,833,783,50,42,254,0.0
8786.56,833,783,50,41,253,0.0
8799.96,833,786,47,41,255,0.0
8812.52,833,784,49,43,254,-0.0333
8826.27,836,785,51,41,255,0.0
8838.78,832,783,49,41,254,0.0
8851.39,836,786,50,43,255,0.0
8864.4,836,785,51,42,255,0.0
8876.88,831,782,49,42,254,0.0
8890.01,837,785,52,43,255,0.0
