time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
-2.79,804,782,22,45,254,0.0
7.22,804,782,22,44,253,0.0
17.23,805,783,22,44,253,0.0
27.23,802,778,24,44,252,0.0
37.25,800,779,21,45,252,0.0
47.22,804,783,21,45,253,0.0
57.21,799,776,23,44,252,0.0
67.23,798,779,19,44,252,0.0333
77.22,805,783,22,44,254,0.0
87.21,805,782,23,45,254,0.0
97.22,800,780,20,46,252,0.0
107.22,799,779,20,44,251,0.0
117.22,805,782,23,44,253,0.0
127.24,801,776,25,44,251,0.0
137.22,800,778,22,45,251,0.0
147.21,805,783,22,44,253,0.0
157.21,799,778,21,44,251,0.0
167.22,799,778,21,44,251,0.0
177.23,806,783,23,45,253,0.0
187.22,799,778,21,44,252,0.0
197.22,801,778,23,44,252,0.0
207.21,805,784,21,44,253,-0.0333
217.21,804,782,22,44,254,0.0
227.22,801,779,22,45,252,0.0
237.24,801,778,23,43,251,0.0
247.21,806,783,23,44,253,0.0
257.22,799,778,21,44,252,0.0
267.21,799,779,20,44,251,0.0
277.22,804,782,22,45,254,0.0
287.22,799,776,23,44,252,0.0
297.22,802,778,24,45,253,0.0
307.25,799,772,27,43,251,0.0
317.21,809,784,25,46,254,0.0
327.22,800,778,22,44,252,0.0
337.26,800,780,20,46,252,0.0
347.21,804,784,20,44,254,0.0
357.22,803,779,24,45,252,0.0
367.22,804,780,24,44,252,0.0
377.22,801,780,21,45,254,0.0
387.22,807,783,24,45,254,0.0
397.22,803,783,20,44,254,0.0333
407.25,802,779,23,46,253,0.0
417.22,806,784,22,45,253,0.0
427.22,802,779,23,44,252,0.0
437.24,803,780,23,45,252,0.0
447.22,801,779,22,45,253,-0.0333
457.22,801,778,23,44,252,0.0
467.25,801,779,22,44,252,0.0
477.22,802,779,23,44,252,0.0
487.22,805,784,21,44,254,0.0
497.22,799,779,20,45,253,0.0
507.22,801,779,22,44,253,0.0
517.24,800,777,23,45,251,0.0
527.22,806,784,22,45,253,0.0
537.22,799,776,23,45,252,0.0
547.22,801,778,23,45,253,0.0
557.22,805,784,21,45,254,0.0
567.22,801,779,22,45,252,0.0
577.22,799,779,20,45,252,0.0
587.22,801,778,23,44,252,0.0
597.22,806,783,23,44,253,0.0
607.23,802,779,23,44,252,0.0
617.22,802,780,22,46,252,0.0
627.22,801,779,22,45,251,0.0
637.21,806,783,23,45,253,0.0
647.22,801,778,23,45,252,0.0
657.25,803,780,23,44,253,0.0
667.25,799,772,27,43,251,0.0
677.22,801,778,23,44,252,0.0
687.22,803,780,23,44,252,0.0
697.25,801,779,22,44,252,0.0
707.24,801,780,21,45,254,0.0
717.21,801,778,23,44,253,0.0
727.22,802,778,24,45,252,0.0
737.22,802,779,23,44,252,0.0
747.21,805,784,21,44,253,0.0
757.22,801,778,23,45,252,0.0333
767.25,804,779,25,45,252,0.0
777.22,802,779,23,44,251,0.0
787.23,806,784,22,45,254,0.0
797.22,801,778,23,43,252,0.0
807.25,802,781,21,44,252,0.0
817.25,803,777,26,44,252,0.0
827.22,800,779,21,43,252,0.0333
837.22,803,779,24,45,252,0.0
847.21,808,780,28,43,252,0.0
857.22,807,785,22,45,254,0.0
867.23,800,779,21,45,253,0.0
877.24,803,780,23,45,252,0.0
887.23,803,781,22,45,253,0.0
897.23,807,785,22,44,254,0.0
907.23,802,780,22,45,253,0.0
917.25,801,781,20,45,252,0.0
927.24,803,779,24,43,252,0.0
937.21,803,779,24,44,252,0.0
947.23,804,780,24,45,252,0.0
957.22,803,779,24,45,252,0.0
967.22,800,780,20,47,254,0.0
977.21,802,780,22,44,252,0.0
987.24,803,778,25,44,252,0.0
1000.61,799,777,22,44,251,0.0
1007.22,800,777,23,44,252,0.0
1017.21,800,776,24,43,251,-0.0333
1027.22,796,771,25,45,254,-0.0333
1037.23,800,776,24,46,251,0.0
1047.23,803,781,22,46,252,0.0
1057.21,799,776,23,45,251,0.0
1069.59,796,772,24,45,249,-0.0333
