flow_run1
time_ms,temp_0,temp_1,temp_0_1,diff_p,abs_p,sfm3300
1.65,814,771,43,41,250,0.0
17.55,821,771,50,42,249,0.0
29.87,814,774,40,41,251,0.0
42.39,819,774,45,41,251,0.0
54.36,817,775,42,41,251,0.0
66.29,823,778,45,41,252,0.0
78.28,824,777,47,41,252,0.0
90.61,824,784,40,43,255,0.0
102.58,819,775,44,42,252,0.0
114.91,819,778,41,41,251,0.0
127.1,821,778,43,41,252,0.0
143.06,825,784,41,41,252,0.0
156.6,817,769,48,41,252,0.0
168.95,821,775,46,41,251,0.0
182.04,822,778,44,42,252,0.0
194.76,824,780,44,41,251,0.0
206.95,823,780,43,41,253,0.0
219.24,827,784,43,41,253,0.0
231.16,824,780,44,42,253,0.0
243.19,824,780,44,41,252,0.0
255.19,826,784,42,41,254,0.0
267.32,823,778,45,42,252,0.0
279.71,824,781,43,41,252,0.0
291.75,827,784,43,41,254,0.0
303.68,824,779,45,41,252,0.0
316.42,827,782,45,42,254,0.0
328.33,818,775,43,42,251,0.0
340.37,824,781,43,42,254,0.0
352.69,828,784,44,41,253,0.0
364.61,821,777,44,42,252,0.0
377.22,829,784,45,43,253,0.0
389.08,827,784,43,42,254,0.0
401.04,823,779,44,41,252,-0.0333
413.19,826,784,42,42,254,0.0
425.01,822,780,42,42,253,0.0
437.03,828,785,43,41,254,0.0
449.14,825,783,42,42,253,0.0
460.84,822,779,43,42,252,0.0
473.22,829,784,45,42,254,0.0
485.04,828,782,46,42,253,0.0
496.72,822,780,42,41,253,0.0
508.9,826,782,44,42,254,0.0
520.73,822,779,43,42,252,0.0
532.73,828,783,45,41,254,0.0
544.9,830,784,46,42,253,0.0
557.01,827,781,46,42,253,0.0
569.47,831,786,45,42,254,0.0
582.0,829,784,45,41,254,0.0
596.76,828,782,46,42,253,0.0
609.42,831,784,47,42,254,-0.0333
621.74,828,780,48,41,253,0.0
634.23,827,781,46,42,252,0.0
647.09,830,781,49,40,254,0.0
659.85,830,781,49,42,253,0.0
672.72,829,782,47,42,253,0.0
685.47,827,781,46,42,252,0.0
705.61,828,779,49,43,252,0.0
724.59,829,780,49,42,252,0.0
738.59,826,783,43,42,254,0.0
